"","PG.Open","PG.High","PG.Low","PG.Close","PG.Volume","PG.Adjusted"
"712",123.989998,125.169998,123.5,124.940002,4734500,118.93705
"713",124.790001,125.449997,123.360001,124.510002,6399500,118.527718
"714",124.830002,125.139999,123.25,123.870003,6010200,117.918465
"715",123.919998,123.919998,118.639999,119.07,10351400,113.349098
"716",118.830002,119.589996,118.239998,118.900002,9239600,113.187271
"717",119.099998,120.349998,118.660004,120.32,6756300,114.539032
"718",120.339996,120.339996,118.809998,119.620003,8909700,113.872658
"719",119.849998,120.589996,119.160004,119.699997,4249900,113.948822
"720",119.480003,120,119.089996,119.330002,3850400,113.596596
"721",119.489998,119.599998,118.550003,119.269997,4759600,113.539482
"722",119.900002,121.050003,119.870003,120.650002,7262800,114.853188
"723",120.620003,121.169998,120.110001,120.5,5188300,114.710373
"724",120.989998,120.989998,119.970001,120.540001,7108600,114.748466
"725",120.25,122.559998,120.169998,121.889999,7493700,116.0336
"726",121.93,122.779999,121.129997,121.419998,5989000,115.586182
"727",121.419998,122.379997,120.93,122.290001,6480000,116.414383
"728",121.779999,122.540001,120.279999,120.339996,7094200,114.55806
"729",120.230003,120.610001,119.389999,120.290001,4414900,114.510483
"730",120.440002,120.919998,120.019997,120.510002,5134300,114.71991
"731",120.730003,122.349998,120.410004,122.260002,8235200,116.385818
"732",122.419998,122.440002,120.959999,121.760002,3751400,115.909851
"733",121.989998,122.629997,121.709999,122.059998,2927300,116.195427
"734",121.940002,122.779999,120.959999,122.720001,6146200,116.823723
"735",122.309998,122.959999,121.800003,122.949997,6396200,117.042656
"736",122.75,124.580002,122.690002,124.529999,6857300,118.546761
"737",124.269997,124.629997,123.660004,124.620003,7029200,118.632431
"738",124.730003,125.449997,123.889999,124.190002,7150900,118.223091
"739",124.309998,125.139999,124.18,124.870003,7452800,118.870422
"740",124.779999,124.870003,124.120003,124.269997,4740100,118.299248
"741",124.269997,125.269997,124.07,124.660004,4823300,118.670509
"742",124.779999,125.760002,123.879997,124.57,5897800,118.584831
"743",124.209999,125.739998,123.790001,125.470001,5471600,119.441597
"744",125.470001,126.349998,125.349998,125.559998,8281900,119.527267
"745",125.589996,125.980003,124.309998,125.309998,8832200,119.289268
"746",125.309998,125.870003,123.690002,124.010002,8607600,118.051735
"747",124.160004,125.199997,123.900002,124.919998,6629100,118.918015
"748",126.150002,126.599998,125.029999,125.360001,16250500,119.336884
"749",125.519997,125.82,124.690002,124.900002,6619500,118.898987
"750",124.790001,125.309998,124.580002,125.220001,2022100,119.203606
"751",125.099998,125.75,124.870003,125.220001,4760400,119.203606
"752",125.559998,126.300003,125.389999,126.089996,5192000,120.031799
"753",125.760002,125.980003,124.139999,124.470001,3884300,118.489647
"754",124.43,124.989998,123.949997,124.900002,4798900,118.898987
"755",124.5,124.730003,122.940002,123.410004,8130800,117.480576
"756",122.160004,123.529999,121.860001,122.580002,7970500,116.690437
"757",122.57,123.190002,122.379997,122.75,6674400,116.85228
"758",122.879997,123.209999,121.870003,121.989998,7583400,116.128792
"759",122.190002,123.43,122,122.510002,5385100,116.623817
"760",122.510002,123.879997,122.510002,123.849998,5944000,117.899429
"761",123.900002,124.32,123.300003,123.970001,3927100,118.013657
"762",124,124.900002,123.809998,124.879997,8409200,118.879936
"763",124.650002,125.199997,124.480003,124.690002,7829700,118.699066
"764",125.059998,126.120003,125.010002,125.959999,4843700,119.908043
"765",126.110001,126.779999,125.589996,126.07,6233700,120.012764
"766",126.349998,127,125.879997,126.410004,11315200,120.336433
"767",126.410004,126.620003,124.839996,126.089996,8553100,120.031799
"768",126.330002,126.68,125.830002,126.309998,7396700,120.241234
"769",124.300003,126.550003,123.650002,124.989998,11096500,119.691559
"770",125.220001,126.790001,124.769997,125.139999,9508600,119.835205
"771",124.75,126.389999,124.75,125.690002,9338400,120.3619
"772",125.93,126.980003,125.720001,126.029999,6200200,120.687477
"773",125.910004,126.07,125.029999,125.059998,5271000,119.758598
"774",124.790001,126.059998,124.419998,125.949997,5894400,120.610863
"775",125.989998,126.949997,124.459999,124.620003,6612900,119.337242
"776",124.660004,125.949997,124.489998,125.110001,6052300,119.80648
"777",125.709999,127.349998,125.360001,125.660004,6512200,120.333168
"778",125.910004,127.059998,125.400002,126.809998,6125400,121.434418
"779",126.900002,128.089996,126.599998,127.139999,9102700,121.75042
"780",127.190002,127.269997,126.050003,126.080002,5915100,120.735359
"781",126.459999,126.830002,125.760002,126.169998,5216100,120.821548
"782",126.269997,126.269997,124.029999,124.160004,6105700,118.896751
"783",123.68,123.970001,122.849998,123.449997,6031700,118.216843
"784",123.730003,125.279999,123.519997,124.959999,7159000,119.662842
"785",125.290001,126.150002,124.790001,126.139999,5889100,120.792816
"786",125.830002,126.18,124.830002,124.870003,6767600,119.576645
"787",124.849998,126.470001,124.650002,125.440002,4734000,120.122505
"788",125.470001,126.760002,125.129997,126.580002,6094600,121.214165
"789",126.129997,128.070007,125.980003,126.699997,8723900,121.329086
"790",125.260002,126.589996,123.139999,123.300003,7533900,118.073212
"791",123.019997,123.959999,120.879997,121.43,8903200,116.282478
"792",121.419998,122.389999,119.849998,120.160004,6894200,115.066322
"793",119.120003,119.919998,113.43,113.5,13298900,108.688637
"794",109.459999,113.230003,106.669998,113.230003,22784300,108.430084
"795",113.190002,119.790001,112.550003,119.559998,12399800,114.491753
"796",119.730003,121.839996,117.139999,118.169998,12510900,113.160675
"797",119.879997,124.690002,119.599998,124.5,9459300,119.222336
"798",121.300003,122.900002,120.279999,121.629997,9363500,116.473984
"799",118.029999,122.610001,117.550003,121.660004,9817400,116.502731
"800",115.269997,120.029999,115.120003,116.059998,13116500,111.140114
"801",118.959999,120.82,114.440002,120.550003,11419100,115.439781
"802",117.599998,118.440002,110.68,111.589996,16456000,106.859604
"803",103,111.580002,101,101.839996,20988000,97.522903
"804",106.5,114.629997,105.410004,114.07,17378700,109.234474
"805",101.75,115.949997,101,108.5,17367400,103.900581
"806",111.449997,119.699997,110.769997,118.239998,19451400,113.227707
"807",113.019997,121.5,112.089996,117.449997,23139200,112.471184
"808",116.610001,118,109.790001,110.830002,16428100,106.131828
"809",109.190002,109.699997,101.589996,102.43,19922900,98.087906
"810",100.190002,103.75,94.339996,97.699997,17776800,93.558411
"811",101.230003,104,96.07,103.269997,14625500,98.892303
"812",100.510002,104.699997,98.599998,100.919998,13789100,96.641922
"813",103.879997,108.309998,102.529999,107.379997,15796000,102.828064
"814",106.489998,114.290001,106.489998,110.169998,16073100,105.499786
"815",113.900002,115.790001,110.199997,115,14571600,110.125053
"816",113.5,114.290001,108.949997,110,21691000,105.337006
"817",107.949997,112.18,107,109.330002,11095800,104.695412
"818",107.690002,114.989998,107.5,114.400002,9168800,109.550491
"819",113.739998,115.900002,113.010002,115.080002,7768700,110.20166
