"","APD.Open","APD.High","APD.Low","APD.Close","APD.Volume","APD.Adjusted"
"960",294.980011,295.600006,292.230011,294,477500,287.81134
"961",289.940002,291.26001,283.040009,286.399994,636200,280.371307
"962",287.130005,288.339996,283.369995,283.5,538600,277.532349
"963",277,279.649994,272.75,272.980011,903900,267.233826
"964",272.809998,279.649994,271.269989,276.769989,715600,270.944
"965",274.920013,278.049988,271.679993,276.23999,827400,270.425171
"966",280.720001,287.600006,279.100006,286.690002,690200,280.655243
"967",289.970001,292.709991,286.970001,289.040009,842300,282.955719
"968",289.970001,291.890015,284.640015,289.290009,924200,283.20047
"969",295.26001,306.51001,295.070007,303.339996,856400,296.954712
"970",303.429993,307.779999,302.140015,306.720001,745400,300.26358
"971",318.910004,327.890015,312.51001,312.670013,1261700,306.088379
"972",315.079987,315.570007,309.519989,309.970001,1279600,303.44516
"973",297,300.160004,277.160004,280.839996,4733200,274.928314
"974",277.890015,279.970001,263.609985,265.309998,4849000,259.725281
"975",268.029999,269.559998,262.26001,263.869995,2553700,258.315552
"976",267.579987,269.720001,262.799988,266.440002,2201800,260.831482
"977",264.589996,266.670013,262.23999,266.290009,2218700,260.684631
"978",266.820007,272.100006,266.019989,267.700012,2028800,262.064941
"979",266.75,272.630005,263.790009,270.359985,1340500,264.668945
"980",269.940002,271.149994,265.380005,270.480011,1102900,264.786407
"981",272.769989,276.670013,270.899994,275.26001,1265900,269.46579
"982",278,286.380005,276.26001,284.019989,1921400,278.041412
"983",283.660004,286.220001,277.26001,278.119995,1177700,272.265594
"984",279.01001,279.970001,276.559998,277.829987,674700,271.981689
"985",278,280.149994,275.790009,280.140015,1312900,274.243134
"986",285,286,279.269989,283.179993,1259700,277.219086
"987",281.690002,282.5,273.869995,273.880005,1373200,268.114868
"988",274.380005,275.200012,266.070007,267.25,2035600,261.62442
"989",267.01001,273.850006,264.630005,273.76001,1587100,267.997406
"990",274.480011,276.429993,268.160004,269.179993,1114200,263.513794
"991",269,270.040009,267.100006,268.230011,1358500,262.583801
"992",269.380005,271.609985,267.859985,270.570007,1038100,264.874542
"993",269.209991,270.220001,266.690002,268.820007,1065000,263.161377
"994",266.589996,268.630005,265.700012,267.359985,751800,261.732117
"995",269.079987,270.329987,265.320007,265.399994,894200,259.813354
"996",270.100006,272.070007,268.059998,270.01001,1655400,264.326324
"997",270.049988,271.070007,267.399994,268.899994,1154900,263.239655
"998",269.98999,271.429993,268.5,268.600006,940000,262.946014
"999",267.619995,270.459991,265.320007,269.549988,2605100,263.875977
"1000",265.369995,266.570007,260.609985,264.48999,1387100,258.922485
"1001",264.01001,264.679993,261.609985,264.01001,1266900,258.452637
"1002",266.040009,268.980011,265,266.25,840500,260.645447
"1003",266.079987,268.359985,265.130005,268.350006,227600,262.701263
"1004",271.519989,272.600006,268.399994,268.600006,630600,262.946014
"1005",271.170013,274.369995,267.380005,268.730011,777200,263.073273
"1006",269.980011,273,269.410004,271.100006,611300,265.393372
"1007",269.420013,273.579987,268.299988,273.220001,795600,268.797363
