"","SNPS.Open","SNPS.High","SNPS.Low","SNPS.Close","SNPS.Volume","SNPS.Adjusted"
"613",127.449997,127.910004,124.589996,126.139999,1116400,126.139999
"614",125.879997,127.43,125.440002,126.739998,682200,126.739998
"615",127.220001,127.389999,125.5,125.980003,764800,125.980003
"616",126.07,126.150002,123.400002,124.800003,916700,124.800003
"617",124.82,125.790001,124.18,124.519997,999000,124.519997
"618",126.110001,126.510002,125.410004,125.860001,1253700,125.860001
"619",126.389999,128,126,127.650002,1258400,127.650002
"620",128.580002,130.639999,128.339996,130.009995,1357200,130.009995
"621",130.399994,130.509995,128.75,128.839996,1630500,128.839996
"622",129.210007,129.559998,127.879997,128.110001,807200,128.110001
"623",128.360001,128.360001,124.559998,124.639999,1367300,124.639999
"624",125.970001,126.769997,123.580002,123.980003,1515000,123.980003
"625",124.029999,125.860001,124.029999,125.620003,989400,125.620003
"626",126.440002,128.839996,125.669998,128.690002,4970900,128.690002
"627",131.399994,132.089996,130.139999,131.429993,1439300,131.429993
"628",131.990005,133.5,131.679993,133.460007,1156400,133.460007
"629",133.070007,135.25,133.070007,134.889999,991400,134.889999
"630",133.779999,135.539993,132.369995,135.399994,1008600,135.399994
"631",134.660004,135.679993,134.449997,135.600006,1483400,135.600006
"632",134.910004,135.970001,134.559998,135.860001,1117400,135.860001
"633",136.350006,137.880005,136.110001,137.570007,1063300,137.570007
"634",137.639999,137.850006,136.330002,136.440002,1231300,136.440002
"635",137.610001,137.729996,135.580002,137.410004,695300,137.410004
"636",137.639999,137.690002,135.809998,137.460007,671900,137.460007
"637",137.440002,137.520004,135.779999,135.910004,758600,135.910004
"638",136.529999,137.100006,135.669998,135.75,609400,135.75
"639",135.270004,136.520004,134.660004,136.039993,858200,136.039993
"640",136.690002,136.860001,134.860001,134.990005,771400,134.990005
"641",135.580002,136.410004,135.070007,135.419998,619600,135.419998
"642",135.149994,136.289993,134.190002,136.160004,918300,136.160004
"643",135.979996,137.779999,135.050003,137.619995,622100,137.619995
"644",136.929993,138.25,136.429993,137.5,712400,137.5
"645",138.279999,138.720001,137.020004,137.089996,646200,137.089996
"646",137.389999,137.389999,133.850006,136.210007,697900,136.210007
"647",135.130005,136.360001,134.850006,135.369995,548300,135.369995
"648",135.649994,135.649994,131.070007,132.759995,854200,132.759995
"649",133.350006,135.669998,131.779999,132.520004,756600,132.520004
"650",132.070007,132.070007,128.059998,129.350006,1111900,129.350006
"651",126.25,126.75,123.849998,124.769997,1338200,124.769997
"652",125.870003,127.199997,125.040001,126.230003,878100,126.230003
"653",126.709999,127.580002,124.099998,127.040001,688300,127.040001
"654",127.809998,132.360001,127.809998,131.970001,990900,131.970001
"655",131.050003,131.710007,129.309998,131,805300,131
"656",129.880005,130.5,127.32,128.160004,793800,128.160004
"657",127.970001,132.860001,127,132.119995,1326500,132.119995
"658",129.179993,129.809998,125.989998,126.709999,1153500,126.709999
"659",127.419998,128.039993,126.18,127.290001,689300,127.290001
"660",128.940002,130,128.350006,128.979996,860600,128.979996
"661",130.580002,131.369995,128.679993,129.940002,743600,129.940002
"662",129.809998,130.979996,128.619995,129.960007,736500,129.960007
"663",131.320007,132.429993,130.570007,131.839996,1235300,131.839996
"664",135,142,134.25,139,2887200,139
"665",137.470001,140.820007,134.509995,135.050003,1622900,135.050003
"666",136.630005,136.960007,134.850006,136.619995,1316700,136.619995
"667",137.289993,137.800003,135.699997,136.690002,1295300,136.690002
"668",136.210007,137.220001,134.789993,136.75,1037300,136.75
"669",138.5,142.369995,138.5,141.309998,1072800,141.309998
"670",142.279999,142.940002,140.690002,141.809998,831100,141.809998
"671",140.080002,141.289993,138.470001,139.270004,879200,139.270004
"672",141.169998,143,140.490005,141.520004,874200,141.520004
"673",143.399994,146.270004,143.229996,145.949997,1231500,145.949997
"674",146,146.660004,145.320007,145.509995,903200,145.509995
"675",146.199997,146.5,140.630005,141.259995,1515500,141.259995
"676",140.539993,140.539993,134.389999,135.25,1636900,135.25
"677",134.820007,136.770004,133.75,134.639999,1744400,134.639999
"678",135.130005,138.619995,135.130005,137.389999,1231600,137.389999
"679",137.320007,138.080002,134.130005,134.639999,1155800,134.639999
"680",133.619995,134.149994,132.529999,133.240005,1150600,133.240005
"681",133.050003,136.880005,132.509995,136.699997,1028300,136.699997
"682",136.660004,137.070007,133.639999,136.5,978700,136.5
"683",136.669998,138.729996,136.460007,137.130005,777300,137.130005
"684",137.110001,137.990005,135.630005,135.720001,1196700,135.720001
"685",134.919998,137.410004,133.119995,137.110001,891600,137.110001
"686",137.990005,139.369995,135.149994,136.479996,1131700,136.479996
"687",136.059998,139.679993,134.550003,139.389999,948100,139.389999
"688",139.460007,141.449997,139.029999,140.740005,754400,140.740005
"689",141,141.149994,134.440002,136.210007,1081700,136.210007
"690",136.539993,138.270004,136.110001,137.25,893000,137.25
"691",137.529999,138.229996,135.509995,135.990005,784300,135.990005
"692",134.899994,135.350006,131.589996,133.309998,1066100,133.309998
"693",133.710007,136.070007,131.580002,136.029999,772200,136.029999
"694",136.509995,139.199997,136.279999,138.779999,815300,138.779999
"695",139.960007,139.960007,137.699997,137.889999,591200,137.889999
"696",137,137.600006,133.789993,133.940002,871700,133.940002
"697",135.089996,136.619995,134.970001,135.789993,886300,135.789993
"698",136.350006,138.380005,135.190002,138.220001,998300,138.220001
"699",139.490005,141.059998,138.509995,138.610001,770900,138.610001
"700",138.410004,139.759995,138.070007,138.850006,422700,138.850006
"701",139.210007,141.899994,139.110001,140.660004,741700,140.660004
"702",139.869995,140,136.630005,138.740005,735900,138.740005
"703",139.080002,139.869995,136.570007,136.830002,795800,136.830002
"704",136.830002,137.520004,133.490005,134.949997,1099800,134.949997
"705",135.460007,137.360001,134.809998,136.679993,717300,136.679993
"706",138.179993,138.25,131.600006,132.119995,1355900,132.119995
"707",131.729996,134.789993,131.619995,133.960007,647200,133.960007
"708",134.449997,137.839996,133.720001,137.720001,852800,137.720001
"709",136.649994,138.470001,136.229996,137.139999,573200,137.139999
"710",138.479996,138.690002,136.940002,137.289993,503900,137.289993
"711",137.479996,138.410004,136.600006,136.679993,720400,136.679993
"712",136.690002,137.919998,135.889999,137.610001,995700,137.610001
"713",137.660004,137.839996,135.130005,135.75,1061100,135.75
"714",136.399994,138.259995,135.679993,136.100006,954200,136.100006
"715",137.330002,137.580002,135.149994,135.770004,944500,135.770004
"716",135.809998,136.410004,133.839996,135.630005,805200,135.630005
"717",135.289993,137.050003,135,136.570007,590200,136.570007
"718",137.059998,138.080002,134.889999,135.229996,925300,135.229996
"719",134.830002,136.839996,134.220001,136.210007,763700,136.210007
"720",135.699997,138.850006,135.309998,137.809998,680000,137.809998
"721",137.630005,140.289993,137.589996,138.889999,656900,138.889999
"722",138.960007,139.860001,138.350006,139.199997,620500,139.199997
"723",138.75,138.809998,137,138.130005,674100,138.130005
"724",139.339996,139.710007,137.279999,139.710007,731300,139.710007
"725",139.25,139.869995,138.490005,139.229996,644900,139.229996
"726",140,142.100006,139.639999,141.75,1064200,141.75
"727",141.470001,141.779999,139.429993,140.839996,772200,140.839996
"728",140.589996,141.139999,138.550003,138.770004,765400,138.770004
"729",139.130005,139.240005,134.789993,135.380005,1035500,135.380005
"730",135.949997,138.440002,135.809998,138.190002,1079600,138.190002
"731",138.570007,140.539993,138.410004,140.070007,2325500,140.070007
"732",140.360001,141.770004,139.630005,141.770004,924900,141.770004
"733",142.009995,143,140.759995,141.039993,519400,141.039993
"734",141.789993,144.240005,135.139999,135.490005,1413200,135.490005
"735",133.910004,135.649994,132.520004,135.210007,965100,135.210007
"736",136.399994,137.199997,135.320007,136.009995,1020000,136.009995
"737",133.5,135.5,131.509995,131.880005,2120000,131.880005
"738",132.130005,134.880005,132.130005,134.210007,1416500,134.210007
"739",134.240005,134.929993,132.100006,132.240005,1136100,132.240005
"740",132.580002,133.289993,131.270004,131.610001,1455600,131.610001
"741",132.210007,132.25,130.720001,132.080002,1443500,132.080002
"742",134.259995,136.330002,132.089996,135.880005,1852800,135.880005
"743",135.949997,137.550003,135.509995,136.699997,730100,136.699997
"744",137.630005,138.860001,136.600006,136.600006,875400,136.600006
"745",137.020004,137.380005,134.639999,136.940002,1121500,136.940002
"746",137.550003,139.240005,137.550003,138.100006,932300,138.100006
"747",138.270004,140.220001,137.5,139.5,1131600,139.5
"748",141.009995,141.009995,138.979996,139.880005,2666700,139.880005
"749",140,141.279999,139.210007,139.910004,1073200,139.910004
"750",139.690002,140.259995,137.5,138.210007,417800,138.210007
"751",138.880005,140.300003,138.610001,140.070007,539400,140.070007
"752",140.419998,140.789993,139.229996,140.619995,533400,140.619995
"753",140.119995,140.289993,137.820007,139.100006,613200,139.100006
"754",138.809998,140.240005,138.449997,139.199997,732900,139.199997
"755",140.309998,142.929993,139.839996,142.869995,1095100,142.869995
"756",141.100006,142.089996,140.050003,141.759995,834800,141.759995
"757",140.520004,142.160004,139.699997,141.979996,924800,141.979996
"758",141.179993,143.479996,140.320007,142.960007,701100,142.960007
"759",143.199997,146.600006,142.559998,145.860001,1241800,145.860001
"760",147.039993,149.300003,146.520004,148.669998,1211800,148.669998
"761",149.770004,150.529999,147.220001,148.460007,739500,148.460007
"762",148.960007,150.429993,148.649994,149.929993,717100,149.929993
"763",149.589996,149.589996,147.259995,148.190002,802300,148.190002
"764",148.779999,150.029999,147.460007,147.910004,842400,147.910004
"765",148.490005,149.75,148.229996,149.690002,819300,149.690002
