"","DAL.Open","DAL.High","DAL.Low","DAL.Close","DAL.Volume","DAL.Adjusted"
"240",53.810001,53.970001,53.130001,53.630001,6289300,50.586548
"241",54.880001,55.599998,53.919998,55.25,13621800,52.114605
"242",55.389999,56.490002,55.360001,56.099998,14378900,52.91637
"243",56.52,56.77,55.889999,56.07,8709800,52.888073
"244",56.200001,56.380001,55.490002,55.75,6444100,52.586239
"245",56,56.610001,55.68,56.220001,7234700,53.029568
"246",56.490002,56.84,55.900002,56.029999,8245100,52.850342
"247",56.169998,56.23,55.869999,56.029999,3891800,52.850342
"248",55.900002,56.779999,55.889999,56.43,3276700,53.227642
"249",56.369999,56.490002,55.919998,56.119999,3766400,52.935242
"250",56.18,56.509998,55.990002,56.349998,3651800,53.152184
"251",56.529999,56.689999,55.990002,56,3120200,52.822052
"252",56.290001,56.740002,55.869999,56.740002,5297600,53.520054
"253",56.470001,56.599998,55.07,55.689999,9332000,52.52964
"254",55.73,55.860001,54.93,55.689999,9026100,52.52964
"255",55.720001,56.049999,55.400002,55.970001,5191300,52.793743
"256",55.919998,56.029999,54.5,54.68,9654700,51.576954
"257",54.799999,55.220001,53.880001,54.169998,10374700,51.095901
"258",54.740002,55.950001,54.720001,55.860001,12318300,52.689995
"259",57.099998,59.200001,56.259998,58.52,25935300,55.199036
"260",59.110001,60.5,58.91,59.830002,12268400,56.4347
"261",60.200001,60.790001,58.900002,59.349998,12082900,55.981937
"262",59.630001,60.16,59.470001,59.720001,6088100,56.330936
"263",59.799999,60.049999,59.23,59.450001,5846600,56.076263
"264",59.689999,60.02,59.080002,60.009998,6192400,56.604477
"265",59.900002,60.16,59.389999,60.130001,7055600,56.717674
"266",60.099998,60.279999,59.41,59.93,7427100,56.529022
"267",56.439999,57.139999,55.560001,56.799999,21197900,53.576645
"268",57,57.139999,54.490002,54.810001,18385800,51.699581
"269",55.310001,55.900002,54.830002,55.259998,9431500,52.124039
"270",55,56.200001,55,55.759998,8781700,52.595673
"271",55.599998,56.540001,55.419998,56.119999,7026800,52.935242
"272",56.299999,57.27,56.240002,56.77,8609600,53.548351
"273",56.509998,57.18,56,56.419998,5492900,53.218212
"274",56.080002,56.27,54.540001,54.619999,8963000,51.520359
"275",54,54.720001,52.5,52.52,9476700,49.539536
"276",51.869999,53.5,51.259998,53.099998,12240800,50.086617
"277",52.830002,54.450001,52.799999,53.849998,8995400,50.79406
"278",53.849998,53.900002,51.209999,51.23,12197900,48.322735
"279",51.950001,52,48.52,50.459999,19053400,47.596443
"280",51.220001,52.490002,50.720001,52.049999,10610200,49.096203
"281",51.860001,52.290001,51.360001,52.169998,8220600,49.209389
"282",51.889999,52.580002,51.75,52.200001,7797900,49.237694
"283",52.57,53.16,51.98,52.950001,4877800,49.945133
"284",52.869999,53.52,52.77,52.849998,5556500,49.850811
"285",52.529999,53.209999,52.299999,52.470001,6719400,49.492371
"286",52.669998,54.389999,52.580002,53.16,7604700,50.143219
"287",53.259998,53.450001,52.450001,52.549999,4899800,49.853867
"288",52.799999,53.48,52.630001,53.459999,4270200,50.717175
"289",54.610001,54.799999,53.75,54.689999,7397700,51.884071
"290",54.59,55.009998,53.529999,53.619999,5979200,50.868961
"291",53.869999,54.5,53.360001,53.900002,6328200,51.134605
