"Index" "CAOpen" "CAHigh" "CALow" "CAClose" "CAVolume" "CAAdjusted"
"2012-08-06" 19.175097 19.252918 19.081713 19.097277 3585536 14.791322
"2012-08-07" 19.143969 19.291828 19.105059 19.22179 3237558 14.887761
"2012-08-08" 19.237354 19.284046 19.120623 19.206226 4370285 14.875706
"2012-08-09" 19.268482 19.268482 19.105059 19.268482 2978630 14.923924
"2012-08-10" 19.206226 19.361868 19.143969 19.322956 2675627 14.966119
"2012-08-13" 19.252918 19.307392 19.182878 19.2607 3110086 14.917899
"2012-08-14" 19.291828 19.330738 19.073931 19.112841 3330977 14.803379
"2012-08-15" 19.120623 19.237354 19.081713 19.182878 2609578 14.857625
"2012-08-16" 19.19066 19.268482 19.120623 19.19066 4256049 14.863653
"2012-08-17" 19.252918 19.276264 19.159533 19.245136 3716734 14.905842
"2012-08-20" 19.252918 19.284046 19.136187 19.276264 2228319 14.929954
"2012-08-21" 19.315174 19.40856 19.198444 19.346304 4366173 14.9842
"2012-08-22" 19.346304 19.361868 19.229572 19.33852 4359491 14.978172
"2012-08-23" 19.315174 19.361868 19.182878 19.214008 4575885 14.881733
"2012-08-24" 19.19066 19.361868 19.151751 19.33852 3690520 14.978172
"2012-08-27" 19.377432 19.579767 19.33852 19.4786 3595559 15.086668
"2012-08-28" 19.470818 19.657587 19.455254 19.626459 4758612 15.201188
"2012-08-29" 19.649805 19.758755 19.610895 19.642023 3870034 15.213243
"2012-08-30" 19.603113 19.618677 19.307392 19.447472 2899346 15.062558
"2012-08-31" 19.486382 19.603113 19.455254 19.540855 3358862 15.134884
"2012-09-04" 19.688717 20.046694 19.688717 19.961088 6224540 15.460368
"2012-09-05" 19.968872 20 19.782101 19.789883 5336220 15.327762
"2012-09-06" 19.906614 20.163424 19.898832 20.124514 6824507 15.586945
"2012-09-07" 20.101168 20.163424 19.875486 19.906614 3779056 15.418175
"2012-09-10" 19.961088 20.062258 19.859922 19.961088 2794618 15.460368
"2012-09-11" 19.976654 20.07004 19.953306 19.992218 3831356 15.484474
"2012-09-12" 19.992218 20.07004 19.859922 19.89105 2997391 15.406117
"2012-09-13" 19.906614 20.233463 19.906614 20.202335 3934541 15.647217
"2012-09-14" 20.101168 20.14786 19.844358 19.914396 5368602 15.424207
"2012-09-17" 19.883268 19.984436 19.85214 19.922178 7931791 15.430223
"2012-09-18" 19.953306 20.007782 19.859922 19.953306 3062284 15.454338
"2012-09-19" 20.031128 20.10895 19.92996 19.961088 4902789 15.460368
"2012-09-20" 20.957197 21.595331 20.910505 21.198444 22026571 16.418732
"2012-09-21" 21.346304 21.587549 21.268482 21.40856 10267407 16.58147
"2012-09-24" 21.330738 21.470818 21.159533 21.424126 5261561 16.593527
"2012-09-25" 21.40856 21.43969 21.22179 21.315174 5526143 16.509142
"2012-09-26" 21.330738 21.533073 21.291828 21.424126 4569846 16.593527
"2012-09-27" 21.494164 21.501945 21.284046 21.463036 4127420 16.623659
"2012-09-28" 21.377432 21.501945 21.29961 21.470818 4926433 16.629686
"2012-10-01" 21.556419 21.626459 21.486382 21.610895 7010189 16.738186
"2012-10-02" 21.610895 21.642023 21.533073 21.626459 4727258 16.750233
"2012-10-03" 21.610895 21.673153 21.540855 21.571983 5018953 16.708048
"2012-10-04" 21.649805 21.735409 21.525291 21.657587 3320312 16.774349
