"Index" "EOOpen" "EOHigh" "EOLow" "EOClose" "EOVolume" "EOAdjusted"
"2013-01-15" 62.005001 62.75 61.875 62.549999 3347000 55.75103
"2013-01-16" 62.415001 62.75 62.195 62.685001 3009800 55.871353
"2013-01-17" 63 63.275002 62.445 63.014999 3449000 56.165474
"2013-01-18" 63.169998 63.540001 62.610001 63.395 3532800 56.504185
"2013-01-22" 63.474998 63.669998 62.450001 63.25 3831400 56.374939
"2013-01-23" 63.080002 63.294998 62.25 62.375 2282000 55.595036
"2013-01-24" 62.450001 63.200001 62.395 62.494999 2724000 55.701996
"2013-01-25" 62.685001 63.27 62.27 62.634998 2365000 55.826771
"2013-01-28" 62.904999 62.904999 61.775002 62.099998 2718400 55.349937
"2013-01-29" 62.330002 63.595001 62.005001 63.470001 2821400 56.571026
"2013-01-30" 63.584999 64.714996 63.084999 63.16 3195000 56.29472
"2013-01-31" 62.75 62.985001 62.25 62.490002 3528000 55.697559
"2013-02-01" 63.32 64.394997 62.494999 64.300003 3367000 57.310802
"2013-02-04" 63.834999 63.895 63.299999 63.645 2681200 56.727001
"2013-02-05" 64.324997 64.635002 63.950001 64.410004 2044400 57.408852
"2013-02-06" 63.865002 64.959999 63.764999 64.834999 1729400 57.787655
"2013-02-07" 64.860001 65.055 64.025002 64.885002 2315800 57.832226
"2013-02-08" 65.07 66.695 65.07 66.639999 3602200 59.396458
"2013-02-11" 66.644997 66.839996 66.059998 66.669998 3396200 59.423187
"2013-02-12" 66.75 67.345001 66.400002 67.050003 3462400 59.76189
"2013-02-13" 67.050003 67.199997 66.349998 66.800003 3178000 59.539078
"2013-02-14" 69.035004 69.099998 66.540001 66.665001 5912000 59.418739
"2013-02-15" 66.629997 67 63.889999 64.595001 6343200 57.573742
"2013-02-19" 65.279999 65.790001 65.019997 65.699997 3935400 58.558617
"2013-02-20" 65.714996 65.870003 63.66 63.695 4943600 56.771564
"2013-02-21" 63.244999 63.529999 61.775002 62.02 5828200 55.278641
"2013-02-22" 62.5 62.919998 61.845001 62.669998 4546200 55.857979
"2013-02-25" 62.834999 63.48 60.825001 60.884998 5190600 54.267006
"2013-02-26" 61.185001 61.924999 60.380001 61.75 3928600 55.037975
"2013-02-27" 61.555 63.564999 61.384998 63.459999 4719000 56.562099
"2013-02-28" 63.220001 63.98 62.799999 62.855 4326200 56.022865
"2013-03-01" 62.32 62.674999 61.115002 61.5 5727000 54.815166
"2013-03-04" 61.389999 61.439999 60.5 60.895 3752200 54.275913
"2013-03-05" 61.540001 62.525002 61.209999 62.349998 3915600 55.572762
"2013-03-06" 62.59 62.974998 62.16 62.799999 4088800 55.973846
"2013-03-07" 62.875 64.114998 62.685001 63.779999 2442600 56.847321
"2013-03-08" 64.095001 64.459999 63.744999 64.339996 2449200 57.346451
"2013-03-11" 64.165001 64.684998 63.705002 64.330002 2084000 57.337551
"2013-03-12" 64.75 65.199997 64.559998 65.040001 2585600 57.970371
"2013-03-13" 65 65.589996 64.745003 64.940002 2634800 57.881245
"2013-03-14" 65.245003 66.004997 65.135002 65.915001 2847800 58.750252
"2013-03-15" 65.735001 66.419998 65.205002 65.209999 4972200 58.121887
"2013-03-18" 64.455002 65.209999 64.160004 64.464996 2773400 57.457863
"2013-03-19" 64.550003 64.760002 63.355 63.634998 2513600 56.718082
"2013-03-20" 64.18 64.400002 63.084999 63.119999 3784800 56.259064
"2013-03-21" 62.634998 63.424999 61.924999 61.950001 4030200 55.216244
"2013-03-22" 62.220001 62.535 61.810001 62.490002 2790400 55.697559
"2013-03-25" 62.884998 63.400002 61.514999 61.959999 3087000 55.225159
"2013-03-26" 62.240002 64.695 62.185001 64.449997 4865200 57.444496
"2013-03-27" 63.945 64.334999 63.095001 64.099998 3713800 57.132542
"2013-03-28" 64.084999 64.574997 63.715 64.035004 3039400 57.074612
"2013-04-01" 64.035004 64.415001 63.314999 64.254997 2257400 57.270695
"2013-04-02" 64.400002 65.025002 64.019997 64.525002 3105200 57.511353
"2013-04-03" 64.525002 64.709999 62.875 63.049999 3335400 56.196682
"2013-04-04" 63.035 63.035 61.314999 61.43 4745800 54.752766
"2013-04-05" 60.5 62.435001 60.380001 62.375 4256400 55.595036
"2013-04-08" 62.445 63.610001 62.264999 63.445 2525200 56.548737
"2013-04-09" 63.535 64.605003 63.099998 64.125 2289400 57.154835
"2013-04-10" 64.279999 65.099998 64.239998 64.309998 2723000 57.319714
"2013-04-11" 64.504997 64.830002 63.860001 64.129997 2956800 57.159279
"2013-04-12" 63.650002 63.900002 62.005001 62.064999 4050600 55.399948
"2013-04-15" 61.18 61.185001 58.064999 58.095001 5775400 51.856285
"2013-04-16" 58.915001 59.82 57.91 59.575001 4537000 53.177349
"2013-04-17" 58.705002 58.93 56.73 57.41 6131200 51.24485
"2013-04-18" 57.695 57.98 56.025002 57.654999 6903800 51.463535
"2013-04-19" 58.080002 58.139999 56.465 56.720001 4954200 50.628941
"2013-04-22" 56.974998 58.41 56.755001 58.200001 4329000 51.950012
"2013-04-23" 58.450001 58.689999 57.634998 58.5 4435600 52.217785
"2013-04-24" 58.52 60.224998 58.5 59.965 3838000 53.525463
"2013-04-25" 60.080002 61.764999 59.68 60.93 4523000 54.386837
"2013-04-26" 60.849998 60.955002 59.5 59.560001 4676200 53.163956
"2013-04-29" 60.25 61.360001 59.939999 60.965 2326800 54.418072
"2013-04-30" 60.900002 61.369999 60.294998 60.580002 3567800 54.074413
"2013-05-01" 60.195 60.195 58.880001 59.415001 3678600 53.034534
"2013-05-02" 59.625 60.130001 59 59.834999 3080400 53.409424
"2013-05-03" 60.700001 62.099998 60.700001 61.990002 4339000 55.333004
"2013-05-06" 62.299999 63.365002 61.630001 63.02 5604800 56.252384
"2013-05-07" 66.894997 68.980003 66.480003 67.845001 10445000 60.559258
"2013-05-08" 68.019997 69.389999 67.959999 68.949997 6426200 61.545574
"2013-05-09" 69.404999 69.5 67.764999 68.040001 5611400 60.733276
"2013-05-10" 67.745003 67.745003 65.849998 66.790001 4896400 59.617538
"2013-05-13" 66.410004 67.269997 66.154999 66.830002 3208800 59.65324
"2013-05-14" 67 68.485001 66.910004 68.334999 3957800 60.996628
"2013-05-15" 68.245003 68.82 67.025002 67.345001 4216200 60.112946
"2013-05-16" 67.254997 67.459999 66.370003 66.610001 3958800 59.456863
"2013-05-17" 66.900002 67.945 66.754997 67.625 5239200 60.362865
"2013-05-20" 67.684998 68.574997 67.434998 67.805 4074400 60.523533
"2013-05-21" 67.889999 68.135002 67.025002 67.139999 2490200 59.929947
"2013-05-22" 67.080002 67.764999 64.910004 65.464996 4040000 58.434826
"2013-05-23" 64.485001 65.82 64.114998 65.699997 3610600 58.644573
"2013-05-24" 64.864998 65.474998 64.315002 65.415001 2411000 58.390194
"2013-05-28" 66.230003 66.625 64.754997 65.559998 3505800 58.519627
"2013-05-29" 65.169998 66.709999 65.059998 66.415001 3149600 59.282795
"2013-05-30" 66.165001 66.970001 65.449997 66.345001 2435200 59.220314
"2013-05-31" 65.864998 66.300003 64.544998 64.550003 3438200 57.618088
"2013-06-03" 65.074997 66.065002 64.860001 65.875 2904200 58.800812
"2013-06-04" 65.735001 66.32 65.165001 66.080002 3553000 58.98378
"2013-06-05" 65.830002 65.985001 64.245003 64.260002 2890800 57.359226
"2013-06-06" 64.455002 65.324997 63.759998 65.32 2992600 58.305397
"2013-06-07" 65.550003 66.824997 65.099998 66.339996 2235600 59.215862
"2013-06-10" 66.165001 66.300003 65.574997 65.809998 1533600 58.742767
"2013-06-11" 64.644997 65.160004 64.120003 64.555 2794600 57.622543
"2013-06-12" 65.629997 65.885002 64.739998 64.815002 2709400 57.854641
"2013-06-13" 64.839996 66.75 64.675003 66.665001 3135000 59.505962
"2013-06-14" 66.805 66.805 65.565002 65.870003 2687800 58.796333
"2013-06-17" 66.599998 67.169998 66.080002 66.665001 2379400 59.505962
"2013-06-18" 66.75 67.980003 66.57 67.510002 2800400 60.26022
"2013-06-19" 67.485001 68.995003 67.389999 67.794998 3409000 60.51461
"2013-06-20" 66.860001 66.945 64.894997 65.495003 4397600 58.461613
"2013-06-21" 66.120003 66.199997 64.285004 65.199997 4786600 58.19828
"2013-06-24" 64.445 64.730003 62.264999 63.705002 3962200 56.863838
"2013-06-25" 64.510002 65.550003 64.110001 65.074997 3441000 58.0867
"2013-06-26" 65.595001 66.275002 64.764999 65.925003 2504600 58.845425
"2013-06-27" 66.580002 67.040001 65.360001 65.504997 3610800 58.470528
