"Index" "BLOpen" "BLHigh" "BLLow" "BLClose" "BLVolume" "BLAdjusted"
"2012-07-27" 166.360001 171.539993 165.690002 170.669998 631200 135.036423
"2012-07-30" 170.850006 172.539993 168.710007 172.029999 530600 136.112457
"2012-07-31" 170.899994 171.690002 168.649994 170.259995 504000 134.712036
"2012-08-01" 170.759995 172.919998 169.289993 169.619995 423200 134.205658
"2012-08-02" 168.240005 169.600006 166 168.509995 569200 133.327393
"2012-08-03" 170.869995 173.729996 170 173.190002 596700 137.030273
"2012-08-06" 173.800003 175.289993 172.690002 172.910004 501800 136.808731
"2012-08-07" 173.740005 174.630005 173.009995 174.009995 747200 137.679092
"2012-08-08" 173 173.910004 172.610001 173.669998 451300 137.41008
"2012-08-09" 173.5 175.550003 173.130005 174.789993 427800 138.296249
"2012-08-10" 173.580002 174.740005 172.940002 174.410004 382300 137.995575
"2012-08-13" 174.110001 175.339996 173.210007 174.949997 353700 138.422852
"2012-08-14" 175.509995 175.570007 172.410004 173 474500 136.879959
"2012-08-15" 172.970001 176.449997 172.949997 176.029999 466800 139.277359
"2012-08-16" 176.059998 177.990005 175.229996 177.220001 374200 140.218903
"2012-08-17" 179.449997 180 177.570007 178.789993 389000 141.461075
"2012-08-20" 177.720001 179.289993 177.25 178.369995 410400 141.128754
"2012-08-21" 178.800003 181.339996 177.460007 178.529999 460900 141.255371
"2012-08-22" 178.300003 178.979996 177.220001 178.039993 326600 140.867645
"2012-08-23" 178.25 178.690002 176.770004 177.300003 300200 140.282181
"2012-08-24" 176.619995 178.880005 175.509995 178.270004 299500 141.049683
"2012-08-27" 178.529999 178.990005 176.75 177 287500 140.044815
"2012-08-28" 176.779999 179.429993 176.220001 178.320007 652000 141.089218
"2012-08-29" 178.880005 179.199997 176.75 177.149994 303600 140.163498
"2012-08-30" 175.440002 176.830002 174.5 176.009995 434700 140.450729
"2012-08-31" 176.940002 177.979996 174.860001 176.369995 395000 140.738037
"2012-09-04" 176.699997 178 175.360001 176.929993 376400 141.184875
"2012-09-05" 177.199997 177.970001 175.919998 176 434200 140.442795
"2012-09-06" 177.220001 180.399994 176.539993 180.179993 514200 143.778305
"2012-09-07" 180.399994 182.729996 179.899994 182.020004 441600 145.246567
"2012-09-10" 181.699997 181.949997 177.720001 177.830002 613100 141.903091
"2012-09-11" 177.610001 179.350006 176.550003 176.720001 586500 141.017288
"2012-09-12" 177 178.080002 175.309998 176.690002 497200 140.993393
"2012-09-13" 176.779999 181.979996 175.289993 181.889999 1088100 145.142822
"2012-09-14" 185.300003 185.460007 182.059998 183 1090400 146.02861
"2012-09-17" 182.5 183.949997 182.289993 182.720001 572800 145.805145
"2012-09-18" 182.75 183.75 181.570007 182.740005 669700 145.821136
"2012-09-19" 183 183.679993 182.289993 182.330002 668700 145.493927
"2012-09-20" 181.240005 183.369995 179.929993 183 581300 146.02861
"2012-09-21" 183.910004 184.270004 182.630005 183 915700 146.02861
"2012-09-24" 181.440002 182.25 180.559998 181.039993 591500 144.464569
"2012-09-25" 181.740005 182.240005 177.889999 177.910004 595800 141.966904
"2012-09-26" 178.580002 179.309998 176.550003 176.660004 440000 140.969437
"2012-09-27" 178.009995 180 177.679993 178.929993 301200 142.780807
"2012-09-28" 178.600006 179.429993 177.119995 178.300003 612000 142.278122
"2012-10-01" 179.570007 182.910004 179.25 179.860001 466000 143.522934
"2012-10-02" 180.690002 180.899994 175.490005 177.169998 1123100 141.376389
"2012-10-03" 178.240005 182 176.559998 181.570007 1118700 144.887482
"2012-10-04" 182.139999 184.070007 181.539993 184.020004 806700 146.842499
"2012-10-05" 185.020004 191.990005 185.020004 187.389999 1531000 149.531647
"2012-10-08" 187.940002 189.899994 187.330002 188.690002 1199500 150.569016
"2012-10-09" 188.940002 190.339996 188.690002 188.990005 1362700 150.808426
"2012-10-10" 188.610001 188.990005 187.240005 187.360001 564800 149.507751
