"Index" "DGOpen" "DGHigh" "DGLow" "DGClose" "DGVolume" "DGAdjusted"
"2012-07-31" 58.82 59.25 58.400002 58.43 850500 48.447865
"2012-08-01" 59.52 59.830002 58.25 58.259998 1679200 48.306908
"2012-08-02" 58.150002 58.400002 57.57 58.189999 824500 48.248863
"2012-08-03" 58.860001 59.639999 58.720001 59.259998 659600 49.136063
"2012-08-06" 59.240002 59.549999 58.869999 58.91 669600 48.84586
"2012-08-07" 59 59.75 59 59.400002 496800 49.252155
"2012-08-08" 59.689999 60.279999 59.529999 60.169998 923600 49.890594
"2012-08-09" 60.130001 60.48 59.650002 59.779999 538100 49.56723
"2012-08-10" 59.580002 59.700001 59.049999 59.470001 610000 49.310188
"2012-08-13" 59.48 59.759998 59.439999 59.68 427100 49.484314
"2012-08-14" 59.790001 59.98 59.200001 59.369999 341900 49.227272
"2012-08-15" 59.41 59.619999 59.110001 59.27 425900 49.144356
"2012-08-16" 59.150002 60 59.060001 60 456700 49.749641
"2012-08-17" 60.07 60.099998 59.599998 60.02 760700 49.766232
"2012-08-20" 59.93 61.240002 59.93 60.799999 732600 50.412983
"2012-08-21" 60.779999 61.110001 60.580002 60.599998 527800 50.247147
"2012-08-22" 60.59 60.779999 59.77 60.099998 779100 49.832558
"2012-08-23" 60.110001 60.16 59.380001 59.669998 603500 49.476025
"2012-08-24" 59.599998 60.599998 59.599998 60.5 513200 50.16423
"2012-08-27" 60.75 61.029999 60.299999 60.68 647700 50.313477
"2012-08-28" 60.299999 60.73 60.099998 60.540001 701400 50.197395
"2012-08-29" 60.540001 61.07 60.32 60.830002 436500 50.437847
"2012-08-30" 60.419998 60.59 59.709999 60.139999 754100 49.86573
"2012-08-31" 60.349998 60.669998 60.060001 60.470001 521100 50.139359
"2012-09-04" 60.310001 60.950001 60.049999 60.799999 965600 50.412983
"2012-09-05" 60.830002 61.439999 60.689999 61.139999 694300 50.694897
"2012-09-06" 61.470001 62.689999 61.41 62.470001 984900 51.797676
"2012-09-07" 62.419998 62.5 61.779999 61.98 570800 51.39138
"2012-09-10" 61.959999 62.02 61.549999 61.57 610200 51.05143
"2012-09-11" 61.689999 61.990002 61.529999 61.77 558500 51.21727
"2012-09-12" 61.779999 61.91 61.139999 61.349998 647100 50.869011
"2012-09-13" 61.360001 62.299999 61.119999 62.189999 711400 51.565517
"2012-09-14" 61.810001 61.810001 61.110001 61.540001 1033000 51.026558
"2012-09-17" 61.580002 62.09 61.299999 61.880001 546200 51.308475
"2012-09-18" 61.950001 62.759998 61.759998 62.189999 470900 51.565517
"2012-09-19" 62.299999 62.580002 61.880001 62.470001 713100 51.797676
"2012-09-20" 62.290001 62.73 62.029999 62.57 514000 51.8806
"2012-09-21" 62.68 63.25 62.650002 63 901000 52.237133
"2012-09-24" 62.869999 63.060001 62.34 62.900002 647100 52.154224
"2012-09-25" 62.939999 63.41 62.860001 63.07 594200 52.295181
"2012-09-26" 63.009998 63.169998 62.459999 62.52 471300 51.839138
"2012-09-27" 62.549999 63.779999 62.470001 63.509998 658000 52.803581
"2012-09-28" 63.27 63.540001 62.830002 63.43 709500 52.737068
"2012-10-01" 63.549999 63.779999 63.060001 63.389999 913800 52.703812
"2012-10-02" 63.650002 63.860001 63.009998 63.619999 713800 52.895039
"2012-10-03" 63.75 64.089996 63.439999 64 582900 53.210979
"2012-10-04" 64.019997 64.160004 63.369999 64.07 409900 53.26918
"2012-10-05" 64.260002 64.559998 63.98 64.169998 332500 53.352322
"2012-10-08" 64.239998 64.870003 64.019997 64.68 543500 53.776344
"2012-10-09" 64.470001 64.730003 63.389999 63.580002 694800 52.861782
"2012-10-10" 63.700001 63.860001 63.200001 63.41 555800 52.72044
"2012-10-11" 63.779999 64.760002 63.669998 64.239998 701700 53.410526
"2012-10-12" 64.410004 64.43 63.299999 63.389999 562400 52.703812
"2012-10-15" 63.41 64 63.259998 63.950001 685100 53.169399
"2012-10-16" 63.860001 64.07 62.939999 63.369999 1503700 52.687172
"2012-10-17" 61.779999 62.009998 59.75 59.75 3561700 49.677433
"2012-10-18" 59.560001 61.029999 59.049999 60.540001 2244100 50.334263
"2012-10-19" 60.369999 60.380001 59.110001 59.169998 1025600 49.195206
"2012-10-22" 59.049999 59.540001 58.720001 59.400002 691700 49.386444
"2012-10-23" 58.959999 58.959999 58.279999 58.330002 913800 48.496826
"2012-10-24" 58.549999 58.849998 58.330002 58.43 780700 48.579964
"2012-10-25" 58.689999 58.790001 58.150002 58.599998 964900 48.721306
"2012-10-26" 58.610001 58.759998 57.950001 58.330002 795300 48.496826
"2012-10-31" 58.529999 58.639999 57.470001 57.720001 625100 47.989647
"2012-11-01" 57.73 58.459999 57.610001 58.439999 668000 48.588276
"2012-11-02" 58.599998 58.669998 57.93 57.939999 605100 48.172562
"2012-11-05" 57.540001 58.490002 57.470001 58.419998 579300 48.571625
"2012-11-06" 58.389999 59.150002 58.060001 58.93 604000 48.995682
"2012-11-07" 58.720001 59.189999 57.959999 58.060001 651200 48.272335
"2012-11-08" 58.009998 58.32 57.32 57.330002 568500 47.665398
"2012-11-09" 57.290001 58.049999 57.009998 57.169998 763000 47.532368
"2012-11-12" 57.32 57.799999 57.040001 57.209999 507200 47.565628
"2012-11-13" 57.110001 57.349998 56.66 56.669998 970000 47.116653
"2012-11-14" 56.689999 57.02 56.169998 56.310001 631600 46.817352
"2012-11-15" 56.369999 56.639999 55.98 56.5 522500 46.975323
"2012-11-16" 56.77 57.950001 56.599998 57.799999 1488500 48.056171
"2012-11-19" 57.990002 58.240002 57.689999 57.889999 965400 48.130989
"2012-11-20" 57.709999 57.779999 56.849998 57.34 892000 47.673717
"2012-11-21" 57.25 57.549999 56.880001 57.23 817700 47.582256
"2012-11-23" 57.43 58 57.290001 57.98 274400 48.205822
"2012-11-26" 57.650002 57.869999 56.59 57.240002 1538400 47.590561
"2012-11-27" 57.02 57.5 56.860001 57.119999 695200 47.490799
"2012-11-28" 56.950001 57.509998 56.720001 57.41 690400 47.731918
"2012-11-29" 57.68 58.509998 57.470001 58.110001 850600 48.313915
"2012-11-30" 58.009998 58.220001 57.459999 57.779999 1474100 48.039528
"2012-12-03" 57.919998 58.32 57.720001 57.740002 883500 48.006275
"2012-12-04" 57.68 57.98 57.450001 57.849998 868400 48.097725
"2012-12-05" 57.91 58.41 57.5 58.09 754400 48.297279
"2012-12-06" 58.110001 58.360001 57.93 58.290001 649300 48.46357
"2012-12-07" 58.439999 58.439999 57.919998 58.259998 424800 48.438614
"2012-12-10" 58.150002 58.259998 57.959999 58.040001 574400 48.255714
"2012-12-11" 58.02 58.650002 57.98 58.540001 1095200 48.671413
"2012-12-12" 58.459999 59.439999 58.349998 58.889999 709300 48.962418
