"Index" "AIOpen" "AIHigh" "AILow" "AIClose" "AIVolume" "AIAdjusted"
"2013-04-16" 4.196737 4.200737 4.159409 4.186072 11649154 2.425009
"2013-04-17" 4.13008 4.174074 4.088753 4.135413 10538246 2.395663
"2013-04-18" 4.135413 4.154077 4.096752 4.110083 8408694 2.380989
"2013-04-19" 4.122081 4.162076 4.118082 4.148744 8086898 2.403385
"2013-04-22" 4.156743 4.158076 4.116749 4.131413 5808075 2.393345
"2013-04-23" 4.150077 4.152744 4.099418 4.135413 7235527 2.395663
"2013-04-24" 4.147411 4.170075 4.126081 4.150077 4270356 2.404157
"2013-04-25" 4.152744 4.163409 4.095418 4.123414 3936559 2.388711
"2013-04-26" 4.126081 4.139412 4.091419 4.098085 4791680 2.374038
"2013-04-29" 4.111416 4.140745 4.092752 4.136746 6498173 2.396435
"2013-04-30" 4.135413 4.160743 4.119415 4.147411 7831112 2.402613
"2013-05-01" 4.147411 4.167408 4.118082 4.123414 12215484 2.388711
"2013-05-02" 4.139412 4.184739 4.123414 4.123414 8540713 2.388711
"2013-05-03" 4.114082 4.114082 4.01143 4.060757 14917368 2.352414
"2013-05-06" 4.064756 4.156743 4.060757 4.144745 10734774 2.401069
"2013-05-07" 4.152744 4.18074 4.136746 4.174074 7690842 2.418059
"2013-05-08" 4.170075 4.191405 4.147411 4.18074 6546179 2.421921
"2013-05-09" 4.171408 4.210069 4.15141 4.192738 7848364 2.428871
"2013-05-10" 4.204736 4.263395 4.187405 4.251396 6951237 2.462853
"2013-05-13" 4.250063 4.298056 4.238065 4.291391 7690842 2.486021
"2013-05-14" 4.300723 4.368713 4.292724 4.36338 9281818 2.527724
"2013-05-15" 4.322053 4.399375 4.29539 4.399375 9691376 2.567403
"2013-05-16" 4.384711 4.432704 4.370046 4.391376 8317181 2.562734
"2013-05-17" 4.390043 4.420706 4.38871 4.41004 7137263 2.573627
"2013-05-20" 4.402042 4.420706 4.391376 4.41004 6082614 2.573627
"2013-05-21" 4.426038 4.450035 4.419372 4.426038 5565040 2.582962
"2013-05-22" 4.424705 4.458034 4.283392 4.311388 8999778 2.516054
"2013-05-23" 4.298056 4.298056 4.191405 4.24873 14759846 2.479489
"2013-05-24" 4.239398 4.240731 4.187405 4.214068 6808717 2.45926
"2013-05-28" 4.256729 4.271393 4.146078 4.162076 11307855 2.428919
"2013-05-29" 4.132746 4.144745 4.006098 4.028761 14689336 2.351118
"2013-05-30" 4.035427 4.082087 4.023429 4.043426 14203267 2.359677
"2013-05-31" 4.024762 4.070089 4.01543 4.034094 14658581 2.354231
"2013-06-03" 4.054091 4.143412 4.030094 4.131413 18252341 2.411024
"2013-06-04" 4.132746 4.15541 4.043426 4.047425 17204443 2.36201
"2013-06-05" 4.038093 4.079421 3.974102 3.9941 9569109 2.330891
"2013-06-06" 3.9901 4.010097 3.944773 4.002098 7663838 2.335558
"2013-06-07" 4.007431 4.031428 3.946106 3.971436 11540389 2.317664
"2013-06-10" 3.975435 3.984767 3.926109 3.935441 6417161 2.296658
"2013-06-11" 3.900779 3.926109 3.85012 3.85012 62290344 2.246867
"2013-06-12" 3.870117 3.87145 3.759466 3.766132 15116896 2.197852
"2013-06-13" 3.7568 3.899446 3.748801 3.887448 9939661 2.268651
"2013-06-14" 3.888781 3.928775 3.826123 3.856786 8942770 2.250757
"2013-06-17" 3.878116 3.903446 3.808792 3.840788 7071254 2.24142
"2013-06-18" 3.839455 3.895447 3.830123 3.85012 7779355 2.246867
"2013-06-19" 3.858119 3.874117 3.740802 3.751467 11089574 2.189294
"2013-06-20" 3.722138 3.732803 3.658147 3.674145 13696195 2.144171
"2013-06-21" 3.687476 3.779463 3.686143 3.718139 22320919 2.169844
"2013-06-24" 3.682144 3.831456 3.640816 3.742135 13576178 2.183848
"2013-06-25" 3.770131 3.890114 3.755467 3.855453 15555709 2.249978
"2013-06-26" 3.891447 3.931442 3.864785 3.92211 10448984 2.288879
"2013-06-27" 3.940774 4.030094 3.927442 3.996766 8972024 2.332446
"2013-06-28" 3.991433 4.038093 3.958105 4.004765 9381582 2.337115
"2013-07-01" 4.04076 4.059424 3.976769 3.9941 6804966 2.330891
"2013-07-02" 3.987434 4.070089 3.983434 4.035427 10928302 2.355008
"2013-07-03" 4.024762 4.039426 3.956771 3.998099 6905480 2.333225
"2013-07-05" 4.004765 4.004765 3.880782 3.986101 8146907 2.326222
"2013-07-08" 3.986101 4.027428 3.976769 3.982101 10605006 2.323888
"2013-07-09" 3.999432 4.10875 3.9941 4.056757 11909441 2.367456
"2013-07-10" 4.054091 4.068756 4.012764 4.056757 5772070 2.367456
"2013-07-11" 4.095418 4.166075 4.095418 4.162076 5337008 2.428919
"2013-07-12" 4.167408 4.167408 4.098085 4.118082 4495388 2.403245
