"Index" "SJOpen" "SJHigh" "SJLow" "SJClose" "SJVolume" "SJAdjusted"
"2013-01-10" 89.900002 90 89.57 89.839996 742100 70.991234
"2013-01-11" 89.169998 89.470001 87.970001 88.220001 736300 69.711121
"2013-01-14" 88.220001 88.830002 88.050003 88.300003 714100 69.774323
"2013-01-15" 88.309998 88.849998 88.209999 88.360001 579600 69.821747
"2013-01-16" 88.339996 88.660004 88.279999 88.589996 471000 70.003494
"2013-01-17" 88.82 89.809998 88.720001 89.589996 275500 70.793671
"2013-01-18" 89.75 89.900002 88.949997 89.559998 391900 70.769966
"2013-01-22" 89.529999 89.879997 88.910004 89.879997 433100 71.022858
"2013-01-23" 89.910004 90.190002 89.459999 89.760002 360600 70.928017
"2013-01-24" 89.809998 90.309998 89.709999 90.139999 644400 71.228287
"2013-01-25" 90.18 90.300003 89.080002 89.260002 611100 70.532913
"2013-01-28" 89.580002 90.110001 88.209999 88.800003 543500 70.169418
"2013-01-29" 88.639999 88.959999 88.279999 88.650002 616200 70.050911
"2013-01-30" 88.650002 89.169998 88.599998 88.879997 602700 70.232651
"2013-01-31" 88.870003 89.010002 88.629997 88.629997 744000 70.035095
"2013-02-01" 89.190002 90.400002 89.07 89.790001 496300 70.951729
"2013-02-04" 89.900002 89.980003 88.730003 88.860001 372600 70.216843
"2013-02-05" 89.349998 89.739998 89.110001 89.480003 277400 70.706772
"2013-02-06" 89.120003 89.410004 88.610001 89.089996 725000 70.398582
"2013-02-07" 88.949997 89.660004 88.379997 88.900002 597500 70.248451
"2013-02-08" 89.040001 89.480003 88.910004 89.160004 555000 70.45388
"2013-02-11" 89.089996 89.480003 88.449997 88.75 839300 70.129936
"2013-02-12" 89.919998 91 89.389999 90.919998 1241300 71.84465
"2013-02-13" 90.830002 90.830002 89.839996 90.330002 726600 71.789001
"2013-02-14" 90.809998 92.660004 90.57 92.160004 1623000 73.243401
"2013-02-15" 92.220001 94.989998 91.860001 92.400002 1560000 73.434135
"2013-02-19" 92.529999 93.400002 91.470001 91.75 1163000 72.917534
"2013-02-20" 91.769997 92.410004 91.620003 91.699997 1512800 72.8778
"2013-02-21" 91.489998 92.019997 91.410004 91.900002 824000 73.036758
"2013-02-22" 92.050003 93.099998 92 92.989998 753000 73.903023
"2013-02-25" 93.089996 93.5 91.5 91.510002 656500 72.726807
"2013-02-26" 91.919998 93.18 91.919998 93.150002 644300 74.03019
"2013-02-27" 93.099998 95.349998 93 95.120003 722500 75.595825
"2013-02-28" 95.230003 95.860001 95.040001 95.300003 682000 75.738876
"2013-03-01" 95.25 96.279999 94.68 96.269997 536600 76.509773
"2013-03-04" 96.230003 96.639999 95.5 96.639999 389200 76.803818
"2013-03-05" 97.040001 97.519997 96.540001 97.099998 499500 77.169411
