"Index" "TGNOpen" "TGNHigh" "TGNLow" "TGNClose" "TGNVolume" "TGNAdjusted"
"2012-06-13" 6.690909 6.701372 6.57582 6.586282 4859731 5.230725
"2012-06-14" 6.622902 6.764148 6.5392 6.722298 5307033 5.338749
"2012-06-15" 6.76938 6.821693 6.722298 6.785074 4343230 5.388604
"2012-06-18" 6.764148 6.805999 6.696141 6.748454 5091601 5.359521
"2012-06-19" 6.774611 6.874007 6.758917 6.853082 8601205 5.442615
"2012-06-20" 6.868776 6.931552 6.748454 6.826925 5369541 5.421841
"2012-06-21" 6.84785 7.214045 6.758917 7.046642 13875551 5.596338
"2012-06-22" 7.146038 7.166963 7.030948 7.062336 8387112 5.608802
"2012-06-25" 6.968172 6.978634 6.88447 6.905395 5925037 5.484162
"2012-06-26" 6.983866 7.444225 6.983866 7.344829 13213963 5.833154
"2012-06-27" 7.365755 7.595935 7.323904 7.53839 8907626 5.986876
"2012-06-28" 7.507002 7.705793 7.454688 7.669174 7672766 6.090743
"2012-06-29" 7.820883 7.826115 7.643017 7.705793 5866734 6.119825
"2012-07-02" 7.826115 7.852271 7.606397 7.76857 5354248 6.169682
"2012-07-03" 7.799958 7.873197 7.695331 7.752876 3629458 6.157218
"2012-07-05" 7.726719 7.747644 7.559315 7.711025 5895408 6.123981
"2012-07-06" 7.611629 7.73195 7.606397 7.705793 4654048 6.119825
"2012-07-09" 7.669174 7.679636 7.569778 7.669174 4928546 6.090743
"2012-07-10" 7.695331 7.721487 7.507002 7.606397 7147281 6.040887
"2012-07-11" 7.61686 7.61686 7.370986 7.475613 9135865 5.93702
"2012-07-12" 7.433763 7.517464 7.381449 7.449457 6172009 5.916247
"2012-07-13" 7.517464 7.643017 7.475613 7.486076 6290334 5.94533
"2012-07-16" 7.569778 8.056294 7.276822 7.684868 18944022 6.103206
"2012-07-17" 7.73195 7.779032 7.590703 7.663942 8235526 6.086587
"2012-07-18" 7.663942 7.758107 7.601166 7.73195 6068976 6.140599
"2012-07-19" 7.779032 7.977824 7.721487 7.773801 6996460 6.173837
"2012-07-20" 7.716256 7.805189 7.663942 7.747644 4997362 6.153062
"2012-07-23" 7.632554 7.663942 7.4233 7.480845 6472504 5.941175
"2012-07-24" 7.50177 7.507002 7.276822 7.355292 5954666 5.841463
"2012-07-25" 7.418068 7.486076 7.334367 7.344829 6073373 5.833154
"2012-07-26" 7.480845 7.512233 7.318673 7.402374 7518886 5.878856
"2012-07-27" 7.454688 7.595935 7.370986 7.522696 8359012 5.974412
"2012-07-30" 7.580241 7.601166 7.370986 7.407606 6345004 5.88301
"2012-07-31" 7.418068 7.428531 7.344829 7.381449 5311430 5.862236
"2012-08-01" 7.418068 7.454688 7.360524 7.407606 16813219 5.88301
"2012-08-02" 7.350061 7.412837 7.198351 7.323904 9313448 5.816534
"2012-08-03" 7.433763 7.674405 7.4233 7.564547 6375780 6.007649
"2012-08-06" 7.585472 7.674405 7.564547 7.632554 4247461 6.061659
"2012-08-07" 7.684868 7.752876 7.648248 7.705793 6263572 6.119825
"2012-08-08" 7.695331 7.857503 7.690099 7.831346 5784156 6.219538
"2012-08-09" 7.852271 7.967361 7.726719 7.888891 7131033 6.265238
"2012-08-10" 7.841809 7.899354 7.805189 7.888891 4360052 6.265238
"2012-08-13" 7.867965 7.988287 7.831346 7.983055 3803982 6.340022
"2012-08-14" 8.014444 8.082451 7.988287 8.030138 5687240 6.377415
"2012-08-15" 7.998749 8.030138 7.857503 7.899354 4673737 6.273549
"2012-08-16" 7.920279 8.15569 7.904585 8.119071 5472191 6.448044
"2012-08-17" 8.187078 8.218467 8.145228 8.202772 4480288 6.514519
"2012-08-20" 8.176616 8.265549 8.129533 8.150459 6254014 6.472974
"2012-08-21" 8.150459 8.249855 8.103377 8.103377 5380436 6.435582
"2012-08-22" 8.066757 8.139996 7.935973 8.014444 7808486 6.364951
"2012-08-23" 8.019675 8.061526 7.967361 8.035369 3711081 6.381571
"2012-08-24" 7.983055 8.098145 7.935973 8.061526 3393955 6.402343
"2012-08-27" 8.061526 8.092914 7.873197 7.88366 4399430 6.261086
"2012-08-28" 7.873197 7.92551 7.841809 7.862734 3746827 6.244465
"2012-08-29" 7.888891 7.941204 7.857503 7.941204 4024384 6.306784
"2012-08-30" 7.899354 7.967361 7.867965 7.920279 17197822 6.290166
"2012-08-31" 7.972593 8.009212 7.873197 7.983055 12393336 6.340022
"2012-09-04" 7.941204 8.218467 7.920279 8.208004 13849936 6.518675
"2012-09-05" 8.134765 8.218467 7.977824 8.139996 5897893 6.548131
"2012-09-06" 8.197541 8.42249 8.15569 8.401564 6137601 6.758546
"2012-09-07" 8.412027 8.474803 8.333556 8.401564 5272625 6.758546
"2012-09-10" 8.396333 8.542811 8.396333 8.527117 8710163 6.859547
"2012-09-11" 8.553274 9.07641 8.527117 8.893312 20389918 7.15413
"2012-09-12" 8.945626 8.971782 8.814842 8.96132 9114838 7.208836
"2012-09-13" 8.987476 9.212425 8.888081 9.133955 8647273 7.347713
"2012-09-14" 9.15488 9.34844 9.102566 9.196731 7801222 7.398209
"2012-09-17" 9.186268 9.337978 9.086872 9.26997 17089438 7.457125
"2012-09-18" 9.296127 9.442605 9.071178 9.170574 8621276 7.377169
"2012-09-19" 9.228119 9.641396 9.170574 9.568157 16974745 7.697001
"2012-09-20" 9.515844 9.986666 9.494918 9.803569 19858698 7.886374
"2012-09-21" 9.88727 9.88727 9.536769 9.8088 15074283 7.890583
"2012-09-24" 10.101756 10.457489 9.547232 9.620471 11177399 7.739085
"2012-09-25" 9.683247 9.683247 9.489687 9.494918 7718643 7.638084
"2012-09-26" 9.494918 9.57862 9.332746 9.369366 7450453 7.537083
"2012-09-27" 9.411217 9.521075 9.364134 9.458299 6028069 7.608627
"2012-09-28" 9.421679 9.437373 9.254276 9.285664 7914959 7.469753
"2012-10-01" 9.442605 9.61524 9.353672 9.400754 9307331 7.562335
"2012-10-02" 9.421679 9.542001 9.337978 9.442605 8512127 7.596002
"2012-10-03" 9.447836 9.542001 9.421679 9.468762 6001116 7.617043
"2012-10-04" 9.542001 9.672785 9.458299 9.589083 6492002 7.713833
"2012-10-05" 9.667553 9.761718 9.594314 9.630934 5203045 7.747499
"2012-10-08" 9.625702 9.641396 9.447836 9.50015 4490037 7.642291
"2012-10-09" 9.505381 9.531538 9.301358 9.358903 5180106 7.528669
"2012-10-10" 9.301358 9.421679 9.212425 9.26997 5745733 7.457125
"2012-10-11" 9.332746 9.432142 9.249044 9.280433 3615886 7.465544
"2012-10-12" 9.327515 9.468762 9.144417 9.364134 6351886 7.532876
"2012-10-15" 9.510612 9.651859 8.767759 9.337978 12767999 7.511835
"2012-10-16" 9.390291 9.777412 9.26997 9.746024 8945475 7.840082
"2012-10-17" 9.678016 9.8088 9.662322 9.782643 5317546 7.869539
"2012-10-18" 9.777412 9.793106 9.698941 9.740792 7365962 7.835876
"2012-10-19" 9.740792 9.77218 9.411217 9.542001 7481420 7.675958
