"Index" "VMOpen" "VMHigh" "VMLow" "VMClose" "VMVolume" "VMAdjusted"
"2012-07-03" 39.889999 40.720001 39.630001 40.720001 373800 38.244804
"2012-07-05" 40.630001 41.279999 40.240002 41.130001 524300 38.629883
"2012-07-06" 40.709999 41.23 40.540001 41.119999 342200 38.620491
"2012-07-09" 41.119999 41.84 40.619999 41.279999 543200 38.770756
"2012-07-10" 41.540001 41.650002 40.07 40.5 653100 38.038174
"2012-07-11" 40.669998 41.119999 40.209999 41.099998 621400 38.6017
"2012-07-12" 40.830002 41.970001 40.610001 41.68 565100 39.146461
"2012-07-13" 41.599998 43.169998 41.48 43.130001 666000 40.50832
"2012-07-16" 42.950001 43.5 42.799999 43.240002 434100 40.611633
"2012-07-17" 43.400002 43.91 42.790001 43.84 559200 41.175163
"2012-07-18" 43.740002 44.25 43.59 44.040001 641400 41.362991
"2012-07-19" 44.259998 44.360001 43.84 44.119999 437800 41.438129
"2012-07-20" 43.740002 44.709999 43.630001 44.080002 723200 41.400581
"2012-07-23" 43.130001 44.220001 42.82 43.959999 961600 41.287865
"2012-07-24" 44.080002 44.34 42.400002 42.73 640300 40.132618
"2012-07-25" 43.040001 43.27 41.560001 42.18 816200 39.616062
"2012-07-26" 42.27 42.299999 36.759998 37.830002 2043400 35.530479
"2012-07-27" 37.77 39.98 37.25 39.790001 930600 37.371353
"2012-07-30" 39.599998 39.720001 38.470001 38.790001 528900 36.432129
"2012-07-31" 38.419998 39.080002 38.07 38.740002 746600 36.385162
"2012-08-01" 38.939999 38.939999 37.450001 37.470001 664400 35.192364
"2012-08-02" 36.950001 37.5 35.689999 36.900002 818300 34.656994
"2012-08-03" 37.68 38.630001 37.200001 38.41 514900 36.075226
"2012-08-06" 38.5 38.98 38.220001 38.66 346600 36.31004
"2012-08-07" 38.84 39.619999 38.700001 39.540001 484000 37.136528
"2012-08-08" 39.360001 39.709999 38.610001 39.16 328400 36.779621
"2012-08-09" 39.029999 40 38.869999 39.889999 589300 37.465256
"2012-08-10" 40.080002 40.209999 39.16 39.779999 417300 37.361938
"2012-08-13" 39.759998 39.98 39.099998 39.419998 255100 37.023823
"2012-08-14" 39.669998 39.740002 38.93 39.130001 523700 36.751446
"2012-08-15" 39.130001 39.220001 38.389999 39.139999 410400 36.760849
"2012-08-16" 39.18 40 39.139999 39.82 344100 37.399517
"2012-08-17" 40.02 41.200001 39.98 40.400002 631500 37.944256
"2012-08-20" 40.27 40.57 39.599998 40.400002 432700 37.944256
"2012-08-21" 40.450001 40.790001 39.869999 40.080002 415100 37.643707
"2012-08-22" 39.959999 40.41 39.279999 40.32 683000 37.869125
"2012-08-23" 40.259998 40.369999 39.580002 39.59 346000 37.192699
"2012-08-24" 39.490002 41.119999 39.380001 41.07 598100 38.583099
"2012-08-27" 41.25 41.389999 40.040001 40.259998 356000 37.822151
"2012-08-28" 40.099998 40.709999 39.93 40.349998 220200 37.9067
"2012-08-29" 40.450001 40.619999 39.599998 39.990002 269900 37.568489
"2012-08-30" 39.75 39.959999 38.470001 38.5 626100 36.168713
"2012-08-31" 38.740002 39.57 38.099998 38.919998 510900 36.563297
"2012-09-04" 38.91 39.200001 37.700001 37.700001 675300 35.417164
"2012-09-05" 37.799999 38.23 37.25 37.939999 562100 35.642632
"2012-09-06" 38.259998 38.990002 38.150002 38.490002 593400 36.159321
"2012-09-07" 38.689999 40.470001 38.689999 40.349998 495200 37.9067
"2012-09-10" 40.57 42.540001 40.560001 41.439999 782000 38.930683
"2012-09-11" 41.490002 42.310001 41.490002 41.970001 620200 39.4286
"2012-09-12" 42.290001 46.849998 42.169998 46.459999 2182400 43.646729
"2012-09-13" 46.459999 47.27 45.279999 46.959999 1750500 44.116444
"2012-09-14" 47.040001 49.990002 47.040001 49.169998 1929200 46.192619
"2012-09-17" 48.950001 48.950001 44.959999 46.220001 1460500 43.421249
"2012-09-18" 46.060001 46.93 45.91 46.209999 646400 43.41185
"2012-09-19" 46.290001 48.110001 46.23 47.57 867900 44.689499
"2012-09-20" 47.189999 47.84 46.279999 47.779999 1308700 44.886784
"2012-09-21" 48 49 47.939999 48.490002 1196300 45.553795
"2012-09-24" 48.259998 48.610001 47.52 48.27 570000 45.347122
"2012-09-25" 47.029999 47.93 46.040001 46.110001 799300 43.317913
"2012-09-26" 46.23 46.59 45.259998 45.759998 697200 42.989109
"2012-09-27" 45.990002 47.950001 45.990002 47.93 669600 45.027702
"2012-09-28" 47.73 47.790001 46.689999 47.299999 580000 44.43586
"2012-10-01" 47.299999 48.099998 46.77 47.09 843000 44.23856
"2012-10-02" 47.48 48 47.209999 47.790001 415000 44.896191
"2012-10-03" 47.700001 47.950001 47.099998 47.150002 482900 44.294945
"2012-10-04" 47.560001 48.59 47.23 47.959999 586900 45.055882
"2012-10-05" 48.380001 49.599998 48 48.209999 513800 45.290745
"2012-10-08" 47.880001 48.049999 47.200001 47.57 237100 44.689499
"2012-10-09" 47.389999 47.57 45.540001 45.580002 456000 42.820004
"2012-10-10" 45.669998 46.740002 45.5 45.939999 364700 43.158203
"2012-10-11" 46.380001 47.150002 46.18 46.709999 391900 43.881588
"2012-10-12" 46.799999 47.099998 45.950001 46.139999 257200 43.3461
"2012-10-15" 46.59 46.669998 45.610001 46.57 319100 43.750053
