"Index" "SWOpen" "SWHigh" "SWLow" "SWClose" "SWVolume" "SWAdjusted"
"2012-07-23" 64.980003 65.559998 64.190002 64.989998 2131800 53.8666
"2012-07-24" 65.510002 65.629997 63.779999 64.43 1795700 53.402451
"2012-07-25" 64.790001 65.110001 63.290001 64.199997 1657100 53.211803
"2012-07-26" 65.559998 66.629997 65.300003 66.029999 2192900 54.7286
"2012-07-27" 66.5 69.010002 66.080002 68.650002 2878600 56.900162
"2012-07-30" 68.410004 69.089996 67.910004 68.5 2325000 56.775837
"2012-07-31" 68.830002 68.830002 66.790001 66.889999 2075100 55.441402
"2012-08-01" 67.32 67.739998 66.589996 66.669998 1229900 55.25906
"2012-08-02" 66.349998 66.400002 64.339996 65.559998 1907800 54.339035
"2012-08-03" 66.93 68.089996 66.580002 68.010002 1343900 56.369713
"2012-08-06" 68.449997 68.730003 67.239998 67.260002 811300 55.748074
"2012-08-07" 67.779999 69.18 67.720001 68.739998 944000 56.974758
"2012-08-08" 68.620003 68.629997 67.839996 68.449997 906900 56.734383
"2012-08-09" 68.400002 68.529999 67.709999 67.769997 1292700 56.170776
"2012-08-10" 67.510002 68.440002 67.339996 68.389999 1024700 56.684673
"2012-08-13" 68.139999 68.699997 67.5 67.919998 775100 56.295101
"2012-08-14" 68.18 68.260002 66.589996 66.769997 1155100 55.341938
"2012-08-15" 66.559998 67.019997 66.339996 67.010002 1055000 55.540859
"2012-08-16" 66.989998 67.839996 66.150002 67.779999 1330200 56.17905
"2012-08-17" 68.110001 68.730003 67.57 68.379997 1363900 56.676373
"2012-08-20" 67.370003 67.559998 66.519997 66.699997 1146700 55.28392
"2012-08-21" 66.900002 67.669998 66.639999 67.559998 1608700 55.996727
"2012-08-22" 67.360001 67.980003 67.089996 67.800003 930600 56.195641
"2012-08-23" 67.779999 67.900002 66.480003 66.739998 786000 55.31707
"2012-08-24" 66.709999 67.639999 66.239998 67.459999 891000 55.913841
