"Index" "TWOpen" "TWHigh" "TWLow" "TWClose" "TWVolume" "TWAdjusted"
"2012-07-09" 36.843163 36.881512 36.421333 36.536377 5178975 32.589203
"2012-07-10" 36.56514 36.766468 35.951565 36.17207 6629566 32.264244
"2012-07-11" 36.200829 36.651424 36.114548 36.526791 7760078 32.580639
"2012-07-12" 36.191242 36.469269 35.884457 36.152893 4792466 32.247135
"2012-07-13" 36.25835 36.670597 36.25835 36.613075 4811126 32.6576
"2012-07-16" 36.555553 36.641834 36.344635 36.545963 4015220 32.59774
"2012-07-17" 36.574726 37.279377 36.574726 37.130775 6418045 33.119373
"2012-07-18" 36.948624 37.370453 36.747295 37.312931 7019914 33.281849
"2012-07-19" 37.293758 37.859394 37.264996 37.523846 8791638 33.469978
"2012-07-20" 37.389629 37.763523 37.015732 37.255409 8397959 33.230541
"2012-07-23" 36.776054 36.814404 35.558495 35.941978 13752473 32.059006
"2012-07-24" 35.74065 36.411747 35.424274 36.315876 11499844 32.392513
"2012-07-25" 36.39257 37.279377 36.267941 36.95821 9843775 32.96545
"2012-07-26" 37.456738 37.581371 36.747295 36.766468 8930646 32.794426
"2012-07-27" 37.044495 37.619717 36.934242 37.370453 5899077 33.333153
"2012-07-30" 37.322517 37.504673 36.891102 36.986973 7477968 32.9911
"2012-07-31" 37.044495 37.773113 36.891102 37.504673 10473117 33.452885
"2012-08-01" 37.380039 38.281227 36.39257 37.964851 15180094 33.863342
"2012-08-02" 37.322517 39.268696 37.245823 38.990669 19167788 34.778332
"2012-08-03" 38.981083 39.680943 38.818104 39.671352 14352048 35.385487
"2012-08-06" 39.249523 40.102772 39.144066 39.891857 10645356 35.582169
"2012-08-07" 40.160297 40.236992 39.901443 40.208233 10908222 35.864365
"2012-08-08" 39.978142 40.562954 39.805573 40.562954 8449457 36.180756
"2012-08-09" 40.419147 40.802631 40.390385 40.793041 7883910 36.385986
"2012-08-10" 40.543777 41.13818 40.495842 41.12859 8106638 36.685287
"2012-08-13" 40.754696 40.984783 40.601299 40.908089 6948593 36.488609
"2012-08-14" 40.956024 40.956024 40.515018 40.658825 13402114 36.266273
"2012-08-15" 40.69717 41.032719 40.658825 40.927261 6277927 36.505707
"2012-08-16" 41.023132 41.023132 40.74511 40.764282 6187445 36.360332
"2012-08-17" 40.975197 41.119003 40.754696 40.850567 5884477 36.437302
"2012-08-20" 40.793041 41.272396 40.70676 40.975197 10397982 36.548466
"2012-08-21" 41.061481 41.224461 40.409561 40.428734 6691434 36.061043
"2012-08-22" 40.476669 40.634857 40.227406 40.447906 5518840 36.078148
"2012-08-23" 40.275341 40.380798 39.91103 40.074013 5569672 35.744644
"2012-08-24" 40.198643 40.639648 40.04525 40.352036 5390775 35.992626
"2012-08-27" 40.246578 40.476765 40.083599 40.131535 4915456 35.795944
"2012-08-28" 40.083599 40.198643 39.685734 39.815163 7326238 35.513752
"2012-08-29" 39.613831 40.399975 39.431679 40.121948 8525384 36.02264
"2012-08-30" 39.891857 40.093185 39.556309 39.767223 8572287 35.704147
"2012-08-31" 39.843922 40.208233 39.728878 39.834335 7264532 35.764408
"2012-09-04" 39.776814 39.882271 39.335808 39.642593 6058397 35.592258
"2012-09-05" 40.141121 40.956024 40.083599 40.505432 10470987 36.36694
"2012-09-06" 40.658825 41.521664 40.649239 41.435379 9500345 37.201866
"2012-09-07" 41.464138 42.020191 41.464138 41.838036 8361419 37.563377
"2012-09-10" 41.751751 42.029778 41.291573 41.291573 5774103 37.072762
"2012-09-11" 41.186115 41.39703 40.898502 41.26281 5289882 37.04694
"2012-09-12" 41.53125 41.53125 41.205288 41.291573 5071490 37.072762
"2012-09-13" 41.291573 42.643349 41.234051 42.499542 10199005 38.157295
"2012-09-14" 42.3078 43.208988 42.116062 42.863853 8185788 38.48439
"2012-09-17" 42.758396 43.199402 42.585827 43.017246 9559018 38.622124
"2012-09-18" 42.806332 43.161053 42.720047 43.017246 7653695 38.622124
"2012-09-19" 42.998074 43.83215 42.815918 43.630821 9483596 39.172997
"2012-09-20" 43.429489 43.918434 43.419903 43.899258 6355442 39.414017
"2012-09-21" 44.273155 44.637463 43.96637 44.004715 9455638 39.508682
"2012-09-24" 43.870499 44.206043 43.717106 43.92802 5790084 39.439831
"2012-09-25" 43.803387 44.215633 43.132294 43.132294 8225022 38.725418
"2012-09-26" 43.055595 43.055595 42.48037 42.796745 7778298 38.424141
"2012-09-27" 43.14188 43.812977 43.017246 43.506187 5287565 39.061096
"2012-09-28" 43.371967 43.808182 43.103531 43.463047 7243241 39.022369
"2012-10-01" 43.554123 44.091 43.506187 43.621235 4927750 39.164394
"2012-10-02" 43.65958 43.908848 43.295273 43.429489 6110439 38.992237
"2012-10-03" 43.649994 44.186871 43.649994 43.908848 6305694 39.422626
"2012-10-04" 43.391144 44.138935 43.381557 43.937607 6254480 39.448444
"2012-10-05" 44.062241 44.455311 43.937607 44.273155 5672102 39.749699
"2012-10-08" 44.273155 44.579941 44.071827 44.579941 5033076 40.025139
"2012-10-09" 44.579941 44.666225 43.669167 43.678757 5229928 39.216038
"2012-10-10" 43.669167 43.803387 43.424698 43.467838 4761398 39.026665
"2012-10-11" 43.870499 43.870499 42.921375 43.151466 5640704 38.742615
"2012-10-12" 43.065182 43.563709 42.998074 43.199402 4939019 38.785656
"2012-10-15" 43.199402 43.328827 42.61459 43.113117 6473077 38.708191
"2012-10-16" 43.228165 43.592472 43.208988 43.419903 5464438 38.983627
"2012-10-17" 44.033478 44.033478 43.410316 43.774628 6457988 39.302113
"2012-10-18" 43.122704 44.234806 43.122704 43.985542 3994662 39.49147
"2012-10-19" 43.899258 44.004715 42.796745 43.074768 6581733 38.673759
"2012-10-22" 43.084354 43.448666 42.854267 43.132294 5295104 38.725418
"2012-10-23" 42.44202 42.470783 42.063332 42.202347 7901331 37.890472
"2012-10-24" 42.269455 42.394085 42.068127 42.192757 5627087 37.881863
"2012-10-25" 42.451611 42.537891 41.703815 41.7901 5245010 37.520355
"2012-10-26" 41.540836 41.933907 41.406616 41.838036 5186405 37.563377
"2012-10-31" 42.259869 42.259869 41.166939 41.675056 6556963 37.417061
"2012-11-01" 41.866798 42.211933 41.617531 41.991428 6854273 37.701107
"2012-11-02" 42.3078 42.394085 41.39703 41.569595 8932203 37.322369
"2012-11-05" 41.234051 41.502487 40.850567 41.26281 7708275 37.04694
"2012-11-06" 41.464138 41.703815 40.850567 41.329922 7015865 37.107189
"2012-11-07" 41.732578 43.371967 41.665466 43.055595 13926843 38.656548
"2012-11-08" 43.065182 43.52536 42.269455 42.3078 9428836 37.985153
"2012-11-09" 42.202347 43.132294 42.04895 42.825504 6720526 38.449959
"2012-11-12" 42.883026 42.930962 42.374912 42.806332 4809789 38.432751
"2012-11-13" 42.576241 43.055595 42.489956 42.767982 5823828 38.398315
"2012-11-14" 42.87344 43.055595 42.192757 42.279041 5931842 37.959324
"2012-11-15" 42.336563 42.758396 41.972256 42.221519 6378573 37.907681
"2012-11-16" 42.221519 42.907955 42.087299 42.854267 7695169 38.475788
"2012-11-19" 42.959724 43.410316 42.863853 43.410316 6133797 38.975025
"2012-11-20" 43.477428 44.004715 43.314445 43.745865 6146373 39.276283
"2012-11-21" 43.726692 43.736279 43.093945 43.113117 6980281 38.708191
"2012-11-23" 44.033478 44.244392 43.314445 44.244392 3996672 39.723877
"2012-11-26" 43.92802 44.61829 43.870499 44.599117 4657519 40.042358
"2012-11-27" 44.436134 44.87714 44.22522 44.675812 7881168 40.111217
"2012-11-28" 44.234806 45.059296 44.119762 45.049709 7293519 40.683681
"2012-11-29" 45.088058 45.447575 44.977806 45.097645 7575576 40.726967
"2012-11-30" 45.040119 45.433193 44.963425 45.346909 7001502 40.95208
"2012-12-03" 45.414017 45.672871 44.857967 44.867554 6927335 40.519176
"2012-12-04" 45.001774 45.049709 44.48407 44.771683 8939230 40.432606
"2012-12-05" 44.87714 44.87714 44.100586 44.148521 12487959 39.869827
"2012-12-06" 44.206043 44.656639 43.985542 44.647053 10034714 40.320049
"2012-12-07" 44.48407 44.915489 44.48407 44.881935 6244236 40.532173
"2012-12-10" 44.714161 45.107231 44.656639 44.704575 6244323 40.37199
"2012-12-11" 44.867554 45.212688 44.714161 45.183929 5446245 40.804893
"2012-12-12" 45.318146 45.922134 45.231861 45.308559 7650067 40.917446
"2012-12-13" 45.097645 45.409225 44.560768 44.762096 5542572 40.423935
"2012-12-14" 44.704575 45.183929 44.560768 44.838795 6366360 40.49321
"2012-12-17" 44.973011 45.97007 44.973011 45.960484 6418612 41.506191
"2012-12-18" 45.902958 46.535706 45.730392 46.161812 8389633 41.688011
"2012-12-19" 46.238506 46.276855 45.672871 45.672871 5979100 41.246449
"2012-12-20" 45.749565 46.296028 45.56741 46.267269 6814279 41.783237
"2012-12-21" 45.960484 46.133049 45.394844 45.605759 8531060 41.185848
"2012-12-24" 45.538651 45.778328 45.394844 45.490715 1962220 41.081947
"2012-12-26" 45.557823 45.83585 45.222275 45.519478 3951818 41.107914
"2012-12-27" 45.490715 45.615349 44.771683 45.461952 4319243 41.055969
"2012-12-28" 45.088058 45.538651 44.982597 44.992188 3912580 40.631737
"2012-12-31" 44.848381 45.898167 44.800446 45.855022 6564020 41.41095
"2013-01-02" 46.698689 47.70533 46.689098 47.70533 8520662 43.081936
"2013-01-03" 47.5807 47.897072 47.417717 47.724506 6020480 43.099247
"2013-01-04" 47.743679 47.877899 47.225979 47.331436 6235241 42.74427
"2013-01-07" 47.05341 47.17804 46.545296 47.091759 5159763 42.527821
"2013-01-08" 47.043823 48.079227 46.832905 48.079227 9364757 43.419594
"2013-01-09" 48.040878 48.203857 47.350609 47.5807 5508849 42.969383
"2013-01-10" 47.887486 47.925835 47.393749 47.753265 4861475 43.125221
"2013-01-11" 47.638222 47.810787 47.388958 47.561523 2843453 42.952068
"2013-01-14" 47.599873 47.724506 46.895222 47.264324 5375734 42.683666
"2013-01-15" 46.995888 47.18763 46.900017 47.101345 4783580 42.536484
"2013-01-16" 47.05341 47.273911 46.823318 47.139694 3515591 42.571114
"2013-01-17" 47.465652 48.107986 47.197311 47.360195 7040449 42.770248
"2013-01-18" 47.532764 47.868313 47.369781 47.868313 4200512 43.229126
"2013-01-22" 47.753265 48.251797 47.456066 48.251797 5424556 43.575432
"2013-01-23" 48.012119 48.865368 47.983356 48.721561 4893140 43.999672
"2013-01-24" 48.635277 49.172153 48.520233 48.702389 4931295 43.982357
"2013-01-25" 48.779083 48.884541 48.112782 48.318905 5324804 43.636032
"2013-01-28" 48.481884 48.539406 47.935421 48.021706 5339689 43.367641
"2013-01-29" 47.829964 48.146336 47.456066 47.992943 5274455 43.341671
"2013-01-30" 47.954594 48.261383 47.647808 48.069641 4467367 43.410946
"2013-01-31" 47.983356 48.635277 47.83955 48.433949 4523400 43.739929
"2013-02-01" 48.673626 49.066696 48.462711 48.779083 7891161 44.05162
"2013-02-04" 48.357254 48.731148 48.040878 48.357254 4675624 43.670681
