"Index" "SNOpen" "SNHigh" "SNLow" "SNClose" "SNVolume" "SNAdjusted"
"2012-07-12" 53.080002 53.150002 51.630001 52.880001 1056742 49.188526
"2012-07-13" 53.57 55.25 53.330002 54.959999 1403697 51.123306
"2012-07-16" 54.77 54.91 53.400002 53.560001 969515 49.821056
"2012-07-17" 53.830002 54.75 53.540001 54.509998 515101 50.704727
"2012-07-18" 54.32 54.630001 53.98 54.299999 407370 50.509388
"2012-07-19" 54.32 54.959999 54.299999 54.299999 675946 50.509388
"2012-07-20" 53.360001 54.279999 53 53.84 490921 50.081501
"2012-07-23" 52.880001 53.595001 52.7416 53.389999 597072 49.66291
"2012-07-24" 53.299999 53.576 52.509998 52.91 532991 49.216415
"2012-07-25" 52.950001 53.367001 52.57 53.02 573236 49.318745
"2012-07-26" 53.82 54.330002 53.119999 53.59 623149 49.848946
"2012-07-27" 54.029999 55.169998 53.73 54.790001 460999 50.965183
"2012-07-30" 54.799999 55.400002 54.59 54.98 423998 51.141907
"2012-07-31" 54.740002 54.959999 53.68 53.849998 947854 50.090794
"2012-08-01" 54.669998 54.669998 52.860001 53.73 1351162 49.979176
"2012-08-02" 54.150002 56.990002 54.150002 56.169998 2832514 52.248837
"2012-08-03" 56.459999 57.560001 56.34 57.459999 1241915 53.44878
"2012-08-06" 57.549999 58.639999 57.220001 58.099998 1224418 54.044113
"2012-08-07" 58.48 58.84 58.220001 58.59 1013801 54.499908
"2012-08-08" 58.279999 58.900002 58.169998 58.779999 947795 54.676636
"2012-08-09" 58.689999 59.43 58.599998 59.43 803065 55.281273
"2012-08-10" 59.25 60.23 58.990002 59.939999 1625977 55.755665
"2012-08-13" 59.93 61.169998 59.82 60.869999 1830840 56.620739
"2012-08-14" 60.889999 61 59.09 59.310001 1953771 55.169647
"2012-08-15" 59.310001 59.459999 58.93 59.130001 608416 55.002216
"2012-08-16" 58.91 59.240002 58.259998 58.599998 575879 54.509201
"2012-08-17" 58.599998 58.810001 58.310001 58.650002 600407 54.555714
"2012-08-20" 58.630001 58.82 58.080002 58.369999 432973 54.295261
"2012-08-21" 58.43 58.84 57.990002 58.400002 647944 54.323166
"2012-08-22" 58.330002 58.869999 58.255001 58.630001 780926 54.537117
"2012-08-23" 58.41 58.919998 58.310001 58.799999 936767 54.695244
"2012-08-24" 58.799999 59.77 58.619999 59.619999 937900 55.457996
"2012-08-27" 59.439999 59.549999 58.630001 58.919998 673346 54.806858
"2012-08-28" 58.889999 59.689999 58.849998 59.48 736739 55.32777
"2012-08-29" 59.490002 59.82 59.240002 59.240002 540322 55.215935
"2012-08-30" 59.02 59.299999 58.529999 58.560001 706735 54.582123
"2012-08-31" 58.84 60 58.799999 59.099998 1154351 55.085438
"2012-09-04" 59.299999 60.68 59.290001 60.34 961566 56.241215
"2012-09-05" 60.34 60.43 59.73 60.119999 1068445 56.036152
"2012-09-06" 60.5 61.130001 60.5 60.66 757679 56.539471
"2012-09-07" 60.669998 61.040001 59.98 60.09 963320 56.00819
"2012-09-10" 60.130001 60.439999 59.93 60.009998 963912 55.933628
"2012-09-11" 60.080002 61.43 59.98 61.380001 1138274 57.210564
"2012-09-12" 61.68 61.830002 61.029999 61.52 705582 57.341053
"2012-09-13" 61.959999 62 61.330002 61.560001 1229223 57.378342
"2012-09-14" 60.849998 62.450001 60.849998 62.330002 1555355 58.096031
"2012-09-17" 62.25 62.540001 61.389999 62.040001 609600 57.825729
"2012-09-18" 61.779999 61.93 60.779999 61.16 535796 57.005505
"2012-09-19" 61.259998 62.130001 60.890499 61.66 753666 57.471535
"2012-09-20" 61.490002 61.91 61.249699 61.84 528665 57.639313
"2012-09-21" 61.990002 61.990002 61.43 61.619999 1111536 57.434258
"2012-09-24" 61.599998 61.939999 61.139999 61.490002 702369 57.313091
"2012-09-25" 61.799999 62 61.07 61.23 646050 57.070751
"2012-09-26" 61.09 61.23 60.119999 60.189999 529279 56.101395
"2012-09-27" 60.389999 61.59 60.360001 61.25 591928 57.08939
"2012-09-28" 61.200001 61.470001 60.740002 61.23 529223 57.070751
"2012-10-01" 62.57 63.18 61.5 62.540001 990312 58.291767
"2012-10-02" 62.939999 63.18 62.139999 62.32 589437 58.086708
"2012-10-03" 62.509998 62.860001 62.150002 62.810001 433501 58.543419
"2012-10-04" 63.040001 64.010002 63.040001 63.360001 426780 59.056057
"2012-10-05" 63.68 64.379997 63.389999 63.509998 426648 59.195877
"2012-10-08" 63.32 63.650002 63.080002 63.299999 339224 59.00013
"2012-10-09" 63.240002 63.369999 62.220001 63.27 589292 58.972179
"2012-10-10" 63.110001 63.310001 62.98 63.110001 503405 58.823044
"2012-10-11" 63.560001 64.160004 62.82 63.099998 530557 58.813732
"2012-10-12" 63.259998 64.089996 62.209999 62.52 705598 58.273136
"2012-10-15" 62.759998 63.16 62.209999 63.07 396008 58.785763
"2012-10-16" 63.459999 63.830002 62.98 63 556217 58.720512
"2012-10-17" 63.18 63.91 62.430099 62.560001 652435 58.310402
"2012-10-18" 62.740002 63.48 62.080002 62.759998 1135600 58.496826
"2012-10-19" 63.77 66.330002 62.68 63.189999 2418055 58.89761
"2012-10-22" 62.990002 63.84 62.459999 63.720001 808951 59.391617
"2012-10-23" 62.73 62.888199 61.990002 62.349998 918553 58.114662
"2012-10-24" 62.68 63.02 62.119999 62.630001 1153724 58.375656
"2012-10-25" 62.779999 62.93 61.98 62.200001 657239 57.974857
"2012-10-26" 62.32 62.34 60.939999 61.150002 741173 56.996193
"2012-10-31" 61.580002 61.720001 60.119999 60.720001 1346244 56.595398
"2012-11-01" 61.240002 64.25 61.240002 62.52 2008672 58.273136
"2012-11-02" 63.240002 63.619999 60.380001 60.48 982665 56.371696
"2012-11-05" 60.48 61.130001 59.599998 60.450001 1293463 56.343742
"2012-11-06" 60.450001 60.57 59.310001 60.07 775964 55.989548
"2012-11-07" 59.73 60.389999 59.240002 59.709999 711777 55.654011
"2012-11-08" 59.610001 60.459999 59.549999 59.84 984274 55.775166
"2012-11-09" 59.59 60.419899 59.380001 60.099998 738771 56.017506
"2012-11-12" 60.099998 60.389999 59.639999 59.959999 449919 55.887016
"2012-11-13" 59.619999 61.029999 59.580101 59.959999 955643 55.887016
"2012-11-14" 60.049999 60.310001 59.02 59.299999 1067245 55.271847
"2012-11-15" 59.389999 59.619999 58.880001 58.950001 1040863 54.945629
