"Index" "SHOpen" "SHHigh" "SHLow" "SHClose" "SHVolume" "SHAdjusted"
"2012-08-30" 48.119999 48.130001 47.333332 47.333332 2341200 43.233803
"2012-08-31" 47.646667 47.976665 47.506668 47.693333 2079900 43.562626
"2012-09-04" 47.723331 47.976665 47.296665 47.713333 1533000 43.580883
"2012-09-05" 47.816666 47.953335 47.233334 47.343334 1582500 43.242939
"2012-09-06" 47.666668 48.220001 47.436668 48.053333 1946100 43.891453
"2012-09-07" 47.506668 48.303333 47.503334 47.743332 1790100 43.608292
"2012-09-10" 47.726665 48.276669 47.693333 47.916668 1778400 43.766609
"2012-09-11" 47.889999 47.973331 47.283333 47.283333 1957800 43.188137
"2012-09-12" 47.470001 48.253334 47.266666 48.016666 1953600 43.85796
"2012-09-13" 48.080002 48.799999 47.583332 48.563332 2472900 44.357273
"2012-09-14" 48.536667 48.833332 48.209999 48.740002 3344700 44.518646
"2012-09-17" 48.743332 48.790001 48.353333 48.669998 1245900 44.454712
"2012-09-18" 48.746666 48.746666 48.316666 48.496666 1290300 44.296394
"2012-09-19" 48.619999 50.139999 48.426666 49.683334 3845700 45.380276
"2012-09-20" 49.59 49.639999 49.09 49.363335 2028600 45.087986
"2012-09-21" 49.636665 50.266666 49.546665 50.02 2860500 45.68779
"2012-09-24" 50.023335 50.083332 49.566666 49.799999 2233800 45.48682
"2012-09-25" 49.903332 50.220001 49.243332 49.276669 2291400 45.008827
"2012-09-26" 49.243332 49.573334 48.723331 48.77 2762700 44.546043
"2012-09-27" 48.866669 49.836666 48.833332 49.576668 2103600 45.282871
"2012-09-28" 49.543331 49.720001 49.106667 49.636665 2207700 45.337658
"2012-10-01" 49.799999 49.919998 49.126667 49.400002 2571600 45.121487
"2012-10-02" 49.676666 50.073334 49.123333 49.526669 2319000 45.237186
"2012-10-03" 49.496666 50.966667 49.369999 50.936668 2949300 46.525055
"2012-10-04" 51.220001 51.966667 50.936668 51.453335 3502200 46.996979
"2012-10-05" 51.683334 52.166668 51.583332 51.896667 2230200 47.401913
"2012-10-08" 51.700001 51.986668 50.610001 50.743332 2837700 46.348465
"2012-10-09" 50.483334 50.636665 49.843334 49.959999 2744700 45.63298
"2012-10-10" 49.993332 50.393333 49.599998 50.143333 2043900 45.800442
"2012-10-11" 50.413334 50.736668 49.59 49.763332 1593000 45.453346
"2012-10-12" 49.790001 50.25 49.59 49.740002 1478400 45.432045
"2012-10-15" 49.773335 50.576668 49.423332 50.513332 1765200 46.138397
"2012-10-16" 50.816666 51.330002 50.563332 51.193333 2382900 46.759487
"2012-10-17" 51.506668 51.833332 51.123333 51.403332 2553600 46.951309
"2012-10-18" 51.200001 51.496666 50.683334 51.009998 2395200 46.592037
"2012-10-19" 50.939999 51 50.083332 50.169998 2739000 45.824787
"2012-10-22" 49.869999 50.716667 49.75 50.200001 1760700 45.8522
"2012-10-23" 49.846668 50.119999 48.946667 49.796665 3678000 45.483784
"2012-10-24" 50.113335 50.803333 49.936668 50.586666 3526800 46.205379
"2012-10-25" 49.616669 49.973331 46.330002 46.666668 11451000 42.624882
"2012-10-26" 46.606667 46.946667 46.119999 46.543331 5593200 42.51223
"2012-10-31" 47.366669 48.073334 46.856667 47.526669 3775500 43.4104
"2012-11-01" 47.663334 48.136665 47.253334 47.863335 2768400 43.717903
"2012-11-02" 48 48.293331 47.306667 47.333332 2248200 43.233803
"2012-11-05" 47.169998 48.046665 46.883331 48 2386200 43.842743
"2012-11-06" 48.133331 48.259998 47.613335 47.773335 2113200 43.635708
"2012-11-07" 47.549999 48.25 46.98 47.956669 3633600 43.803162
"2012-11-08" 47.853333 48.009998 47.306667 47.323334 2016600 43.224678
"2012-11-09" 47.243332 47.596668 46.706669 46.946667 2092500 42.88063
"2012-11-12" 48.259998 50.586666 47.866669 49.686668 9294900 45.383335
"2012-11-13" 49.843334 51.453335 49.366669 50.683334 6523800 46.293667
"2012-11-14" 50.506668 50.610001 49.663334 49.836666 3015300 45.637394
"2012-11-15" 49.759998 50.360001 49.07 49.636665 3571800 45.454243
"2012-11-16" 49.540001 51.080002 49.233334 50.523335 5989800 46.26619
"2012-11-19" 50.779999 52.360001 50.713333 52.336666 3903900 47.926731
"2012-11-20" 52.136665 52.880001 52 52.656666 2698500 48.21978
"2012-11-21" 52.75 53.266666 52.323334 52.48 2312400 48.057995
"2012-11-23" 52.720001 53 52.446667 52.863335 1143600 48.409019
"2012-11-26" 52.866669 53 52.446667 52.663334 3054900 48.22588
"2012-11-27" 52.529999 52.836666 52.366669 52.383331 2571000 47.969463
"2012-11-28" 51.773335 52.343334 51.113335 52.183334 3912000 47.786316
"2012-11-29" 52.380001 52.380001 51.16 51.226665 4917300 46.910259
"2012-11-30" 51.206669 51.806667 50.84 50.84 8063400 46.55619
"2012-12-03" 50.93 51.406666 50.176666 50.736668 3313500 46.461563
"2012-12-04" 50.893333 51.243332 50.34 50.383331 2613300 46.137997
"2012-12-05" 50.423332 50.540001 49.43 49.970001 2953200 45.759495
"2012-12-06" 50.003334 50.486668 49.486668 50.406666 2801400 46.159367
"2012-12-07" 50.549999 50.616669 49.113335 49.646667 3325800 45.463409
"2012-12-10" 49.403332 50.169998 49.316666 49.926666 2080800 45.71981
"2012-12-11" 49.996666 50.330002 49.830002 49.959999 2260200 45.750328
"2012-12-12" 50.013332 50.16 49.126667 49.290001 2688000 45.136784
"2012-12-13" 49.209999 49.889999 48.830002 49.09 2691000 44.953636
"2012-12-14" 49.009998 49.546665 48.996666 49.41 2643600 45.246681
"2012-12-17" 49.856667 51.169998 49.5 51.143333 3818700 46.833969
"2012-12-18" 51.360001 51.393333 50.343334 50.743332 3354600 46.467667
"2012-12-19" 50.883331 50.883331 49.959999 49.976665 3494400 45.765587
"2012-12-20" 50.099998 50.813332 49.623333 50.806667 3310800 46.525661
"2012-12-21" 49.983334 50.823334 49.983334 50.509998 3444900 46.253983
"2012-12-24" 50.413334 51.076668 50.283333 50.889999 1061100 46.601971
"2012-12-26" 50.886665 51.18 50.543331 50.866669 1753800 46.580605
"2012-12-27" 50.996666 51.063332 50.110001 50.91 1835100 46.620281
"2012-12-28" 50.536667 50.919998 50.283333 50.346668 1730100 46.104408
"2012-12-31" 50.126667 51.533333 50.106667 51.273335 2525400 46.953003
"2013-01-02" 51.996666 52.466667 51.580002 52.226665 5195400 47.826008
"2013-01-03" 52.223331 52.823334 51.599998 51.713333 2838000 47.355927
"2013-01-04" 52.080002 53.913334 52.080002 52.933334 3327900 48.473129
"2013-01-07" 52.746666 52.876667 52.389999 52.830002 2156700 48.378494
"2013-01-08" 52.863335 53.653332 52.743332 53.653332 3461100 49.132454
"2013-01-09" 53.759998 54.380001 53.290001 54.056667 3315900 49.501816
"2013-01-10" 54.166668 54.193333 53.450001 54.119999 2940300 49.559814
"2013-01-11" 53.776669 53.810001 53.436668 53.759998 2616300 49.230133
"2013-01-14" 53.82 54.113335 53.596668 53.726665 1754700 49.199612
"2013-01-15" 53.643333 53.773335 53.433334 53.673332 1374300 49.150772
"2013-01-16" 53.566666 53.956669 53.523335 53.813332 1584300 49.278976
"2013-01-17" 54.056667 54.363335 53.990002 54.279999 1566000 49.706333
"2013-01-18" 54.413334 54.743332 53.926666 54.673332 2851500 50.066521
"2013-01-22" 54.753334 54.823334 54.306667 54.566666 2531400 49.968838
"2013-01-23" 54.463333 54.950001 54.463333 54.936668 2171100 50.307659
"2013-01-24" 55 55.746666 54.939999 55.263332 2748600 50.6068
"2013-01-25" 55.459999 55.616669 55.033333 55.169998 2355600 50.52132
"2013-01-28" 55.060001 55.203335 54.419998 54.696667 2183400 50.087883
"2013-01-29" 54.603333 54.766666 54.086666 54.386665 2321100 49.804008
"2013-01-30" 54.529999 54.866669 53.849998 54.103333 3636900 49.544544
"2013-01-31" 53.416668 54.913334 53.27 54.046665 5520000 49.492657
"2013-02-01" 54.233334 54.900002 54.083332 54.613335 2528100 50.011578
"2013-02-04" 54.25 54.720001 54.166668 54.413334 2890800 49.828423
"2013-02-05" 54.610001 54.73 53.919998 54.386665 2199600 49.804008
"2013-02-06" 54.333332 54.583332 53.880001 54.336666 2132400 49.758213
"2013-02-07" 54.256668 54.456669 53.583332 54.296665 1616700 49.721577
"2013-02-08" 54.380001 54.666668 54.226665 54.59 1139100 49.990208
"2013-02-11" 54.48 54.896667 54.216667 54.833332 1678800 50.213024
"2013-02-12" 54.299999 55 54.086666 54.889999 2105400 50.264923
"2013-02-13" 55 55.233334 54.856667 55.150002 1356900 50.503025
"2013-02-14" 55.056667 55.163334 54.380001 54.556667 2083200 49.959686
"2013-02-15" 54.776669 55.756668 54.776669 55.566666 2998800 50.884575
"2013-02-19" 55.400002 55.5 54.07 54.700001 2621400 50.090923
"2013-02-20" 54.700001 54.700001 53.076668 53.110001 2779200 48.634914
"2013-02-21" 52.833332 52.923332 51.556667 51.970001 3718200 47.740788
"2013-02-22" 52.333332 52.66 51.599998 52.616669 3208200 48.334827
"2013-02-25" 52.830002 53.139999 51.423332 51.446667 2955000 47.260036
"2013-02-26" 51.456669 52.216667 51.313332 51.98 2943900 47.749962
"2013-02-27" 52.09 53.939999 52.033333 53.743332 3312600 49.36982
"2013-02-28" 53.743332 54.486668 53.700001 53.863335 4348500 49.480042
"2013-03-01" 53.496666 54.576668 53.243332 54.16 2803800 49.752552
"2013-03-04" 53.983334 55.126667 53.936668 55.126667 2478600 50.64056
"2013-03-05" 55.416668 55.833332 54.803333 54.953335 2279400 50.481331
"2013-03-06" 55.23 55.446667 54.336666 54.59 2117400 50.147575
"2013-03-07" 54.713333 55.163334 54.639999 54.946667 1525500 50.475208
"2013-03-08" 55.176666 55.456669 54.639999 55.293331 1374300 50.793655
"2013-03-11" 55.386665 55.963333 55.336666 55.91 1611000 51.360157
"2013-03-12" 56.053333 56.333332 55.650002 55.876667 2075100 51.329529
"2013-03-13" 55.68 56.720001 55.656666 56.366669 2320200 51.779655
"2013-03-14" 56.516666 57.083332 56.220001 56.356667 2442900 51.77047
"2013-03-15" 56.203335 56.696667 56.126667 56.226665 3518700 51.651047
"2013-03-18" 55.990002 56.849998 55.583332 56.630001 1639200 52.021564
"2013-03-19" 56.709999 56.943333 56.049999 56.493332 1317000 51.896015
"2013-03-20" 56.676666 57.466667 56.619999 57.373333 1406700 52.704403
"2013-03-21" 57.043331 57.330002 56.290001 56.303333 1871400 51.721493
"2013-03-22" 56.419998 56.903332 55.956669 56.056667 1519200 51.494892
"2013-03-25" 56.346668 56.716667 55.779999 56.07 1366500 51.507126
"2013-03-26" 56.573334 56.693333 56.143333 56.470001 1667400 51.874584
"2013-03-27" 56.166668 56.486668 55.876667 56.426666 1299300 51.834778
"2013-03-28" 56.400002 56.666668 56.009998 56.296665 1641300 51.715351
"2013-04-01" 56.123333 56.496666 55.673332 55.856667 1880700 51.311165
"2013-04-02" 56.176666 56.176666 55.643333 55.970001 1346700 51.415279
"2013-04-03" 56.09 56.16 54.073334 54.983334 2706300 50.5089
"2013-04-04" 55.113335 55.483334 54.733334 55.206669 1591800 50.714058
"2013-04-05" 54.496666 55.293331 54.213333 55.273335 1719600 50.775299
"2013-04-08" 55.206669 55.486668 54.683334 55.276669 1557000 50.778347
"2013-04-09" 55.419998 55.553333 54.796665 55.446667 1440000 50.934525
"2013-04-10" 55.486668 56.146667 55.240002 56.09 1494000 51.525517
"2013-04-11" 56.056667 57.213333 55.876667 57.006668 2255100 52.36758
"2013-04-12" 56.753334 57.266666 56.486668 56.913334 1857000 52.281837
"2013-04-15" 57.536667 58.290001 56.123333 56.203335 3779100 51.629612
"2013-04-16" 56.583332 58.486668 56.583332 58.176666 4722000 53.442352
"2013-04-17" 57.933334 58.279999 56.826668 56.963333 4896600 52.32777
"2013-04-18" 56.663334 59.003334 56.203335 58.293331 5658600 53.549534
"2013-04-19" 58.333332 59.936668 58.193333 59.68 4623000 54.823357
"2013-04-22" 59.310001 60.423332 58.916668 60.23 2130900 55.328602
"2013-04-23" 60.366669 60.779999 59.943333 60.483334 3212100 55.561314
"2013-04-24" 60.599998 60.869999 60.203335 60.343334 1504800 55.432701
"2013-04-25" 60.700001 61.593334 60.566666 61.41 2682300 56.412567
"2013-04-26" 61.426666 61.516666 60.41 61.073334 2022900 56.103302
"2013-04-29" 61.123333 61.189999 60.626667 60.903332 1560900 55.947147
"2013-04-30" 60.743332 61.043331 60.279999 61.036667 1726500 56.069626
"2013-05-01" 60.833332 61.07 60.326668 60.366669 1495200 55.454155
"2013-05-02" 60.639999 61.563332 60.59 61.376667 1473000 56.38195
"2013-05-03" 61.666668 62.763332 61.666668 62.66 2114100 57.56086
"2013-05-06" 62.653332 62.693333 62.009998 62.59 1548900 57.496555
"2013-05-07" 62.566666 63.23 62.459999 63.093334 1849200 57.95892
"2013-05-08" 63.080002 63.326668 62.843334 63.206669 1359900 58.06303
"2013-05-09" 63.263332 63.380001 62.779999 62.799999 1947600 57.689449
"2013-05-10" 62.893333 63.220001 62.556667 62.666668 1891800 57.566982
"2013-05-13" 62.59 62.720001 62.279999 62.566666 2262900 57.475121
"2013-05-14" 62.593334 64.849998 62.593334 64.513336 3277200 59.263363
"2013-05-15" 64.386665 64.666664 64.033333 64.519997 1613400 59.422993
"2013-05-16" 64.410004 64.410004 63.156666 63.326668 1881600 58.323933
"2013-05-17" 63.583332 63.963333 63.343334 63.606667 1695300 58.581825
"2013-05-20" 63.490002 63.813332 62.673332 62.903332 1857300 57.934059
"2013-05-21" 62.816666 63.613335 62.816666 63.316666 1254600 58.314732
"2013-05-22" 63.333332 63.706669 62.183334 62.376667 1853400 57.448986
"2013-05-23" 61.803333 62.706669 61.389999 62.026669 1685700 57.126633
"2013-05-24" 62.68 63.259998 62.043331 63.066666 1647600 58.084484
"2013-05-28" 63.68 64.40667 63.626667 63.966667 1941000 58.91338
"2013-05-29" 63.343334 63.916668 63.093334 63.330002 1668600 58.327023
"2013-05-30" 63.433334 64.099998 63.366669 63.646667 1788300 58.618664
"2013-05-31" 63.456669 63.963333 62.843334 62.843334 2142300 57.878788
"2013-06-03" 62.833332 63.023335 61.516666 62.433334 1920600 57.501183
"2013-06-04" 62.130001 62.606667 60.713333 60.866669 1983300 56.058281
"2013-06-05" 60.400002 60.933334 59.336666 59.643333 2527200 54.931583
"2013-06-06" 59.513332 60.526669 59.373333 60.496666 2090400 55.717506
"2013-06-07" 61.16 61.290001 60.610001 61.086666 1275300 56.260891
"2013-06-10" 61.286667 61.326668 60.823334 61.290001 1228800 56.448174
"2013-06-11" 60.476665 61.343334 60.286667 60.48 1405500 55.70216
"2013-06-12" 60.580002 60.93 59.313332 59.406666 1510800 54.713615
"2013-06-13" 59.403332 61.596668 59.166668 61.493332 1499400 56.635433
"2013-06-14" 61.346668 61.5 60.813332 61.029999 1196700 56.208717
"2013-06-17" 61.476665 61.52 60.633331 61.156666 1637700 56.325382
"2013-06-18" 61.200001 61.52 60.733334 61.433334 822000 56.580189
"2013-06-19" 61.256668 61.536667 60.506668 60.576668 1307100 55.791187
"2013-06-20" 59.833332 60.470001 58.540001 58.633331 2627100 54.001373
"2013-06-21" 58.836666 58.84 56.686668 57.700001 4531200 53.141777
"2013-06-24" 57.246666 58.580002 56.866669 57.939999 2371800 53.362808
"2013-06-25" 58.25 59.246666 58.119999 58.593334 2446200 53.964535
"2013-06-26" 58.913334 59.586666 58.759998 59.369999 1215600 54.679844
"2013-06-27" 59.713333 60.036667 58.956669 59.726665 2100900 55.008331
"2013-06-28" 59.57 59.713333 58.856667 58.866669 1940400 54.216286
"2013-07-01" 59.183334 60.083332 59.053333 59.526669 968700 54.824142
"2013-07-02" 59.436668 60.279999 59.436668 59.876667 1581600 55.146488
"2013-07-03" 59.400002 60.336666 59.400002 59.946667 674100 55.21096
"2013-07-05" 60.203335 60.836666 59.540001 60.826668 900600 56.021435
"2013-07-08" 60.866669 61.236668 60.436668 60.766666 1505400 55.966175
"2013-07-09" 61.080002 61.566666 60.84 61.236668 1463400 56.399048
"2013-07-10" 61.436668 61.779999 60.786667 61.616669 2256000 56.74902
"2013-07-11" 62.906666 62.906666 62.036667 62.293331 2325600 57.372246
"2013-07-12" 62.133331 63.303333 61.990002 62.453335 1966200 57.519611
"2013-07-15" 62.453335 63.560001 61.373333 61.466667 2244600 56.610874
"2013-07-16" 61.466667 61.756668 60.783333 60.919998 2574300 56.107395
"2013-07-17" 60.189999 61.650002 60.189999 61.063332 2167200 56.239414
"2013-07-18" 54.916668 57.606667 54.543331 55.98 17412000 51.557659
"2013-07-19" 56.116669 57.763332 56.016666 57.619999 4451100 53.068096
