"Index" "MMOpen" "MMHigh" "MMLow" "MMClose" "MMVolume" "MMAdjusted"
"2013-02-01" 101.440002 101.989998 101.160004 101.559998 3853600 79.175438
"2013-02-04" 100.769997 101.209999 100.580002 100.769997 1987600 78.559563
"2013-02-05" 101.309998 101.919998 101.25 101.489998 2833100 79.12088
"2013-02-06" 101.129997 102.989998 101.080002 102.690002 3510600 80.056389
"2013-02-07" 102.650002 102.739998 101.459999 102.220001 2277600 79.689972
"2013-02-08" 102.339996 103.330002 102.040001 102.660004 1937800 80.032982
"2013-02-11" 102.389999 102.879997 102.040001 102.620003 1715500 80.001816
"2013-02-12" 102.660004 103.589996 102.629997 103.459999 1928000 80.656662
"2013-02-13" 103.029999 103.389999 102.580002 102.860001 1699900 80.684128
"2013-02-14" 102.43 103.139999 102.220001 102.779999 2217500 80.621361
"2013-02-15" 103.059998 103.379997 102.620003 103.230003 2326200 80.974342
"2013-02-19" 103.419998 104.389999 103.32 104.18 2988500 81.719536
"2013-02-20" 104.18 104.400002 103.150002 103.150002 2995400 80.911606
"2013-02-21" 102.879997 103.139999 102.389999 102.720001 2758000 80.574318
"2013-02-22" 102.989998 103.699997 102.82 103.540001 2158100 81.217529
"2013-02-25" 103.910004 104.040001 101.75 101.75 3021900 79.813431
"2013-02-26" 102.110001 102.660004 101.910004 102.309998 2471900 80.252693
"2013-02-27" 102.099998 103.93 101.949997 103.57 2353700 81.241035
"2013-02-28" 103.599998 104.559998 103.139999 104 2870100 81.578362
"2013-03-01" 103.389999 103.940002 102.720001 103.769997 2660400 81.397934
"2013-03-04" 103.510002 103.510002 102.589996 103.279999 2566300 81.01358
"2013-03-05" 103.760002 104.809998 103.650002 104.449997 2632200 81.931358
"2013-03-06" 104.730003 105.419998 104.470001 104.660004 3470300 82.096085
"2013-03-07" 104.800003 105.150002 104.489998 104.540001 1875200 82.001923
"2013-03-08" 105 105.809998 104.82 105.709999 2357200 82.919678
"2013-03-11" 105.330002 105.959999 105.330002 105.809998 1720600 82.998138
"2013-03-12" 105.82 105.980003 104.959999 105.129997 2226800 82.464737
"2013-03-13" 105.129997 105.57 104.879997 105.089996 2059600 82.433342
"2013-03-14" 105.330002 106.019997 105.260002 106.019997 2203400 83.162849
"2013-03-15" 105.900002 106.879997 105.849998 106.400002 5148400 83.460938
"2013-03-18" 105.230003 105.959999 105.220001 105.410004 1811400 82.684357
"2013-03-19" 105.830002 105.980003 104.639999 105.18 3211400 82.503952
"2013-03-20" 105.910004 106.169998 105.379997 105.660004 1799500 82.88047
"2013-03-21" 105.389999 105.459999 104.720001 104.940002 1937300 82.315689
"2013-03-22" 105.099998 106.489998 105.099998 106.419998 2409800 83.476608
"2013-03-25" 106.529999 106.800003 104.68 105.169998 3739200 82.496086
"2013-03-26" 105.410004 106.220001 105.410004 106.07 1893500 83.20208
"2013-03-27" 105.349998 105.5 104.970001 105.290001 2129500 82.590225
"2013-03-28" 105.669998 106.339996 105.279999 106.309998 2276700 83.39032
"2013-04-01" 106 106.169998 105.419998 105.650002 1684300 82.872627
"2013-04-02" 105.800003 106.800003 105.790001 106.519997 2097500 83.555069
"2013-04-03" 106.599998 106.970001 105.43 105.68 3278900 82.896141
"2013-04-04" 105.82 106.220001 105.300003 105.82 1771200 83.005974
"2013-04-05" 104.449997 105.879997 104.349998 105.779999 2477800 82.974586
"2013-04-08" 105.860001 106.419998 105.099998 105.75 1947700 82.951042
"2013-04-09" 106 106.690002 105.389999 105.949997 2370600 83.107941
"2013-04-10" 106.089996 107.93 106.029999 107.690002 3262400 84.472816
"2013-04-11" 107.860001 108.720001 107.860001 108.25 2137800 84.912064
"2013-04-12" 107.889999 108.269997 107.309998 107.68 2111400 84.464943
"2013-04-15" 107.150002 107.910004 105.739998 105.760002 3677400 82.958916
"2013-04-16" 106.690002 106.849998 105.699997 106.150002 2636800 83.264816
"2013-04-17" 105.470001 105.800003 104.93 105.480003 3155300 82.739265
"2013-04-18" 105.839996 105.970001 104.279999 104.980003 3144700 82.347061
"2013-04-19" 105.309998 105.879997 104.82 105.709999 3323000 82.919678
"2013-04-22" 105.709999 106.099998 105.139999 105.800003 2646800 82.990295
"2013-04-23" 106.239998 107.510002 105.860001 107.389999 3209800 84.23748
"2013-04-24" 107.610001 108.150002 107.239998 107.870003 3238200 84.613991
"2013-04-25" 104.459999 105.639999 103.5 104.879997 9027000 82.268608
"2013-04-26" 104.970001 105.18 103.459999 103.790001 3359400 81.413612
"2013-04-29" 103.910004 104.199997 102.889999 103.830002 2903700 81.445007
"2013-04-30" 103.980003 104.739998 102.970001 104.709999 3768800 82.135277
"2013-05-01" 104.779999 105.120003 104.419998 104.550003 3258900 82.009781
"2013-05-02" 105.040001 106.379997 104.910004 106.040001 3119500 83.178535
"2013-05-03" 106.959999 108.599998 106.849998 107.830002 3013100 84.582649
"2013-05-06" 107.629997 107.989998 107.449997 107.839996 2174400 84.590469
"2013-05-07" 107.610001 108.370003 107.550003 108.010002 2235200 84.723816
"2013-05-08" 108.029999 108.290001 107.769997 108.199997 2654400 84.872841
"2013-05-09" 108.110001 110.510002 108.110001 109.919998 4487000 86.222038
"2013-05-10" 110.080002 110.639999 109.75 110.480003 2993300 86.661308
"2013-05-13" 109.989998 110.720001 109.709999 110.5 2044400 86.676994
"2013-05-14" 110.32 110.790001 110.269997 110.589996 2481000 86.747589
"2013-05-15" 110.400002 111.709999 110.290001 111.5 2912600 87.461411
"2013-05-16" 111.209999 111.699997 110.949997 111.07 2685900 87.124123
"2013-05-17" 111.160004 111.779999 110.940002 111.389999 4060400 87.37513
"2013-05-20" 111.129997 112.059998 110.959999 111.720001 2457300 87.633972
"2013-05-21" 112.110001 112.339996 111.519997 112.010002 2473300 87.86145
"2013-05-22" 111.589996 112.290001 110.57 110.790001 3833200 87.399948
"2013-05-23" 110.059998 110.699997 109.580002 110.410004 2568400 87.100189
"2013-05-24" 109.860001 110.489998 109.489998 110.269997 2228400 86.989738
"2013-05-28" 111.150002 112.379997 111.040001 111.589996 2722000 88.031052
"2013-05-29" 111.040001 111.360001 110.480003 111.129997 2113600 87.668175
"2013-05-30" 111.339996 112 111.010002 111.419998 2599200 87.896927
"2013-05-31" 110.790001 112.209999 110.269997 110.269997 3207700 86.989738
"2013-06-03" 110.699997 110.949997 109.690002 110.610001 2647100 87.257957
"2013-06-04" 110.650002 111.199997 109.529999 110.019997 2508500 86.792519
"2013-06-05" 109.800003 109.889999 108.389999 108.589996 2690400 85.664421
"2013-06-06" 108.459999 108.779999 107.639999 108.669998 2680800 85.727531
"2013-06-07" 109.379997 111.120003 108.970001 111.110001 3374900 87.652397
"2013-06-10" 111.410004 111.449997 110.540001 110.809998 2224100 87.415733
